SaleDate,ProductCategoryName,Units,UnitOfMeasureName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,CCC Last Updated
10/29/2022,Buds,16,Pounds,1253.89,0,0,0.2,1253.89,0.2,4/24/2023
3/22/2023,Immature Plants,5,Each,0.15,,0.15,0,0,15,4/24/2023
6/7/2019,Raw Pre-Rolls,1420,Grams,32951.84,0,0,2135.5,32951.84,2135.5,4/24/2023
4/16/2023,Kief,119,Grams,2792.9,,0,134,2792.9,134,4/24/2023
6/19/2020,Raw Pre-Rolls,9374,Grams,198399.75,0,0,12829.01,198399.75,12829.01,4/24/2023
5/26/2022,Shake/Trim,44,Grams,3122.23,0,0,596.5,3122.23,596.5,4/24/2023
3/20/2022,Shake/Trim,34,Grams,2300,0,0,366.3,2300,366.3,4/24/2023
8/19/2020,Infused Pre-Rolls,408,Grams,11296,0,0,437.3,11296,437.3,4/24/2023
4/19/2019,Concentrate,120,Grams,7632.32,0,0,119.5,7632.32,119.5,4/24/2023
1/28/2019,Shake/Trim (by strain),64,Each,1029,69,1029,0,0,69,4/24/2023
10/23/2022,Immature Plants,18,Each,730,23,730,0,0,23,4/24/2023
5/27/2019,Infused (edible),3507,Each,124728.66,4563,124728.66,0,0,4563,4/24/2023
2/18/2023,Shake/Trim,1015,Grams,47352.69,0,0,14790.5,47352.69,14790.5,4/24/2023
12/6/2019,Infused (edible),8653,Each,341107.07,11492,341107.07,0,0,11492,4/24/2023
8/17/2022,Immature Plants,14,Each,330,25,330,0,0,25,4/24/2023
2/17/2019,Concentrate,33,Grams,3015.6,0,0,36,3015.6,36,4/24/2023
12/18/2021,Concentrate (Each),5108,Each,293640.46,5764,293640.46,0,0,5764,4/24/2023
8/27/2021,Raw Pre-Rolls,4,Pounds,64,0,0,0,64,0,4/24/2023
7/16/2022,Shake/Trim,139,Grams,10179.78,0,0,1891.5,10179.78,1891.5,4/24/2023
5/28/2022,Buds,38361,Grams,1878412.59,0,0,176036.63,1878412.59,176036.63,4/24/2023
4/22/2022,Raw Pre-Rolls,8,Milligrams,233.28,0,0,16000,233.28,16000,4/24/2023
8/22/2022,Shake/Trim (by strain),1564,Grams,51510.62,0,0,8013.8,51510.62,8013.8,4/24/2023
12/22/2018,Concentrate,5,Grams,3452.69,0,0,49,3452.69,49,4/24/2023
7/7/2020,Kief,132,Grams,3897.78,0,0,141.26,3897.78,141.26,4/24/2023
4/2/2023,Concentrate (Each),4239,Each,192706.67,,192706.67,0,0,4941,4/24/2023
12/26/2020,Kief,172,Grams,5506.8,0,0,199,5506.8,199,4/24/2023
7/25/2019,Infused (edible),4984,Each,193691.8,7277,193691.8,0,0,7339.04,4/24/2023
1/24/2023,Infused (non-edible),144,Each,6597.58,207,6597.58,0,0,207,4/24/2023
2/6/2020,Raw Pre-Rolls,8296,Grams,163373.23,0,0,10485.44,163373.23,10485.44,4/24/2023
5/18/2022,Concentrate (Bulk),12,Grams,931.17,0,0,15.93,931.17,15.93,4/24/2023
9/21/2022,Shake/Trim,237,Grams,10694.5,0,0,2147.05,10694.5,2147.05,4/24/2023
7/2/2020,Infused (edible),10897,Each,416757.71,14387,416757.71,0,0,14387,4/24/2023
12/21/2022,Shake/Trim,371,Grams,13904.47,0,0,2907.5,13904.47,2907.5,4/24/2023
12/6/2022,Infused Pre-Rolls,1282,Grams,35527.63,0,0,1587.36,35527.63,1587.36,4/24/2023
11/10/2021,Buds,26622,Grams,1435442.69,0,0,107814.67,1435442.69,107814.67,4/24/2023
3/2/2021,Shake/Trim (by strain),367,Grams,18715.1,0,0,2358.09,18715.1,2358.09,4/24/2023
8/23/2021,Infused Pre-Rolls,453,Grams,15061.64,0,0,512,15061.64,512,4/24/2023
2/3/2023,Suppository,5,Each,224.32,5,224.32,0,0,5,4/24/2023
11/20/2022,Concentrate,7,Milligrams,379.23,0,0,10000,379.23,10000,4/24/2023
12/21/2018,Shake/Trim (by strain),65,Grams,5477.56,0,0,370,5477.56,370,4/24/2023
8/7/2021,Concentrate,6,Milligrams,390,0,0,6000,390,6000,4/24/2023
1/22/2023,Immature Plants,10,Each,395.8,16,395.8,0,0,16,4/24/2023
10/8/2019,Infused (edible),5397,Each,224077.83,7423,224077.83,0,0,7423,4/24/2023
6/27/2022,Immature Plants,9,Each,510,19,510,0,0,19,4/24/2023
10/19/2019,Raw Pre-Rolls,6057,Grams,122971.68,0,0,7923.65,122971.68,7923.65,4/24/2023
4/21/2022,Immature Plants,7,Each,147.5,7,147.5,0,0,7,4/24/2023
8/21/2019,Buds,15580,Grams,679336.79,0,0,47141.12,679336.79,47141.12,4/24/2023
10/11/2021,Infused (non-edible),312,Each,15471.6,362,15471.6,0,0,362,4/24/2023
7/1/2020,Infused (non-edible),232,Each,11110.79,288,11110.79,0,0,288,4/24/2023
5/15/2021,Kief,125,Grams,4026.99,0,0,180.7,4026.99,180.7,4/24/2023
10/26/2019,Infused (non-edible),288,Each,13730.9,319,13730.9,0,0,319,4/24/2023
4/14/2021,Vape Product,9164,Each,587176.41,10461,587176.41,0,0,10461,4/24/2023
12/18/2021,Buds,6,Pounds,384.16,0,0,0.06,384.16,0.06,4/24/2023
12/20/2018,Buds,4533,Grams,178254.32,0,0,13182.95,178254.32,13182.95,4/24/2023
12/5/2022,Kief,99,Grams,2314.98,0,0,121.3,2314.98,121.3,4/24/2023
10/11/2021,Concentrate (Bulk),14,Grams,1040,0,0,23,1040,23,4/24/2023
3/30/2021,Concentrate (Each),3602,Each,217019.28,3976,217019.28,0,0,3976,4/24/2023
2/10/2021,Vape Product,8159,Each,535340.85,9265,535340.85,0,0,9265,4/24/2023
11/12/2021,Shake/Trim (by strain),674,Grams,25764.07,0,0,4163.8,25764.07,4163.8,4/24/2023
8/6/2021,Vape Product,16599,Each,1027550.82,18598,1027550.82,0,0,18598,4/24/2023
10/12/2021,Vape Product,10596,Each,653498.57,11823,653498.57,0,0,11823,4/24/2023
7/17/2021,Buds,36687,Grams,1980077.56,0,0,141077.56,1980077.56,141077.56,4/24/2023
4/1/2022,Infused Pre-Rolls,1692,Grams,55682.83,0,0,1870.35,55682.83,1870.35,4/24/2023
2/11/2022,Vape Product,18593,Each,1108245.42,20651,1108245.42,0,0,20651,4/24/2023
12/13/2020,Vape Product,6791,Each,453202.64,7848,453202.64,0,0,7848,4/24/2023
1/29/2021,Infused (non-edible),231,Each,9806.97,282,9806.97,0,0,282,4/24/2023
1/22/2019,Infused (non-edible),443,Each,32795.39,505,32795.39,0,0,505,4/24/2023
11/23/2018,Concentrate (Each),3596,Each,219436.31,3954,219436.31,0,0,3954,4/24/2023
7/17/2022,Concentrate (Each),3959,Each,189918.71,4477,189918.71,0,0,4477,4/24/2023
5/18/2022,Infused (non-edible),211,Each,10006.76,259,10006.76,0,0,259,4/24/2023
8/19/2019,Concentrate (Each),6220,Each,395467.77,7082,395467.77,0,0,7082,4/24/2023
1/24/2023,Concentrate (Bulk),30,Grams,1032.27,0,0,30.5,1032.27,30.5,4/24/2023
12/6/2021,Vape Product,9995,Each,622051.95,11140,622051.95,0,0,11140,4/24/2023
12/13/2020,Infused Pre-Rolls,134,Grams,4157.6,0,0,163.1,4157.6,163.1,4/24/2023
6/12/2021,Vape Product,13306,Each,859823.89,14963,859823.89,0,0,14963,4/24/2023
11/29/2019,Buds,31225,Grams,1462278.26,0,0,102584.04,1462278.26,102584.04,4/24/2023
2/2/2020,Kief,66,Grams,2395.5,0,0,68,2395.5,68,4/24/2023
5/30/2020,Shake/Trim (by strain),294,Grams,5127.15,0,0,320.8,5127.15,320.8,4/24/2023
4/13/2019,Infused Pre-Rolls,11,Grams,288,0,0,16,288,16,4/24/2023
9/29/2022,Buds,36844,Grams,1643702.55,0,0,187359.06,1643702.55,187359.06,4/24/2023
11/22/2019,Raw Pre-Rolls,10559,Grams,193188.42,0,0,12514.93,193188.42,12514.93,4/24/2023
9/17/2021,Buds,39667,Grams,2140509.32,0,0,157433.78,2140509.32,157433.78,4/24/2023
9/14/2019,Raw Pre-Rolls,4317,Grams,85037.59,0,0,5439.7,85037.59,5439.7,4/24/2023
10/25/2022,Shake/Trim,270,Grams,12350.3,0,0,2126.5,12350.3,2126.5,4/24/2023
2/1/2023,Kief,105,Grams,2520.92,0,0,146.5,2520.92,146.5,4/24/2023
9/22/2020,Raw Pre-Rolls,11052,Grams,236426.56,0,0,15235.56,236426.56,15235.56,4/24/2023
3/26/2021,Infused (non-edible),344,Each,14148.23,410,14148.23,0,0,410,4/24/2023
3/7/2020,Raw Pre-Rolls,12082,Grams,242280.27,0,0,15573.38,242280.27,15573.38,4/24/2023
7/18/2022,Immature Plants,8,Each,235.05,14,235.05,0,0,14,4/24/2023
10/2/2022,Concentrate,15,Milligrams,616.75,0,0,17500,616.75,17500,4/24/2023
10/14/2019,Concentrate (Each),2127,Each,122191.98,2288,122191.98,0,0,2288,4/24/2023
7/23/2020,Raw Pre-Rolls,11817,Grams,254803.01,0,0,16416.03,254803.01,16416.03,4/24/2023
10/11/2020,Infused (edible),12697,Each,463384.1,16388,463384.1,0,0,16388,4/24/2023
1/30/2020,Raw Pre-Rolls,8129,Grams,167194.41,0,0,10705.85,167194.41,10705.85,4/24/2023
7/24/2021,Raw Pre-Rolls,3,Pounds,48,0,0,0,48,0,4/24/2023
7/25/2022,Buds,29327,Grams,1359174.07,0,0,137159.37,1359174.07,137159.37,4/24/2023
6/26/2019,Infused (edible),4328,Each,170167.3,8056,170167.3,0,0,8056,4/24/2023
8/5/2020,Infused (edible),8112,Each,296299.26,10624,296299.26,0,0,10624,4/24/2023
6/25/2022,Shake/Trim,266,Grams,12216.82,0,0,2348,12216.82,2348,4/24/2023
10/18/2022,Infused Pre-Rolls,1480,Grams,41659.6,0,0,1847.64,41659.6,1847.64,4/24/2023
5/22/2022,Concentrate (Each),3571,Each,186570.6,3967,186570.6,0,0,3981.1,4/24/2023
4/20/2023,Immature Plants,33,Each,1050.01,,1050.01,0,0,34,4/24/2023
3/6/2021,Kief,132,Grams,3880.34,0,0,144,3880.34,144,4/24/2023
3/5/2023,Shake/Trim (by strain),1316,Grams,52575.38,,0,12690.3,52575.38,12690.3,4/24/2023
9/1/2021,Shake/Trim (by strain),575,Grams,15626.01,0,0,2198.7,15626.01,2198.7,4/24/2023
1/13/2022,Raw Pre-Rolls,4,Milligrams,26.68,0,0,2000,26.68,2000,4/24/2023
7/7/2019,Raw Pre-Rolls,1760,Grams,34291.33,0,0,2159.8,34291.33,2159.8,4/24/2023
8/15/2019,Infused (non-edible),1356,Each,92562.87,1704,92562.87,0,0,1704,4/24/2023
4/6/2023,Concentrate (Bulk),31,Grams,894.4,,0,32.5,894.4,32.5,4/24/2023
5/24/2022,Immature Plants,5,Each,270,10,270,0,0,10,4/24/2023
10/2/2019,Buds,14398,Grams,660471.47,0,0,45297.73,660471.47,45297.73,4/24/2023
1/20/2023,Shake/Trim,739,Grams,31133.06,0,0,7395.5,31133.06,7395.5,4/24/2023
3/5/2023,Suppository,6,Each,260.62,,260.62,0,0,7,4/24/2023
1/17/2021,Concentrate (Each),3062,Each,180313.97,3505,180313.97,0,0,3505,4/24/2023
1/18/2019,Concentrate (Each),3565,Each,228611.19,3900,228611.19,0,0,3900,4/24/2023
3/20/2023,Shake/Trim,910,Grams,45513.95,,0,13335,45513.95,13335,4/24/2023
7/25/2020,Shake/Trim (by strain),637,Grams,11637.24,0,0,761.8,11637.24,761.8,4/24/2023
8/19/2022,Shake/Trim,794,Grams,30364.27,0,0,7245,30364.27,7245,4/24/2023
3/20/2019,Concentrate,49,Grams,3224.16,0,0,41.5,3224.16,41.5,4/24/2023
3/20/2020,Infused (edible),11081,Each,424971.03,14903,424971.03,0,0,14903,4/24/2023
11/11/2019,Infused (edible),5403,Each,207656.91,7120,207656.91,0,0,7120,4/24/2023
7/29/2022,Infused (non-edible),356,Each,15874.77,397,15874.77,0,0,397,4/24/2023
