RecordNo,ActivitySummaryDate,PlantTrackedCount,PlantBatchCount,StrainActiveCount,PlantImmatureCount,HarvestActiveCount,PlantVegetativeCount,PlantFloweringCount,PlantHarvestedCount,PlantDestroyedCount,EmployeeCount,ProductActiveCount,PackageActiveCount
77,1/7/2019,388.95,2.675,29.505,77.675,1.825,193.25,195.7,102.4,40.95,14.035,165.225,109.205
78,1/8/2019,399.25,2.525,29.53,74,2.025,184.425,214.825,103,41.725,14.035,165.905,114.725
79,1/9/2019,399.175,2.675,29.885,79.075,2.075,188.35,210.825,106.575,43.9,14.315,167.015,121.625
80,1/10/2019,402.05,2.65,30.285,75.475,2.1,178.85,223.2,107.725,46.875,14.59,168.05,130.43
81,1/11/2019,551.55,3.825,32.225,222.4,2.075,222.35,329.2,107.725,47.025,14.59,171.53,139.12
82,1/12/2019,551.525,3.9,32.305,223.9,2.075,222.325,329.2,107.725,47.05,14.57,171.69,140.2
83,1/13/2019,551.275,3.9,32.305,223.6,2.075,222.075,329.2,107.725,47.3,14.57,171.77,140.76
84,1/14/2019,550.55,3.775,32.325,216.95,2.2,230.9,319.65,117.275,47.375,14.925,171.99,148.195
85,1/15/2019,549,4.025,32.54,221.05,2.1,226.4,322.6,119.525,47.425,15.275,172.7,163.085
86,1/16/2019,546.975,4.425,32.54,237.3,2.1,226.1,320.875,119.525,49.45,15.68,172.96,167.27
87,1/17/2019,555.8,4.625,32.68,233.9,2.05,235.225,320.575,119.525,49.975,15.68,174.06,172.69
88,1/18/2019,555.75,4.1,34,195.075,2.175,246.825,308.925,131.6,50.5,17.34,176.47,177.87
89,1/19/2019,562.675,3.9,34.1,187.925,2.15,246.65,316.025,131.6,50.6,17.34,178.59,179.31
90,1/20/2019,562.2,3.9,34.1,187.825,2.15,240.225,321.975,131.6,51.075,17.34,178.89,179.73
91,1/21/2019,560.125,3.85,34.2,182.6,2.425,241.85,318.275,137.5,52.275,18.17,179.99,141.1
92,1/22/2019,557.35,3.725,34.85,177.2,2.75,251.7,305.65,150.075,52.35,18.23,180.575,144.095
93,1/23/2019,560.825,3.925,34.95,180.675,2.85,257.175,303.65,159.05,52.875,18.385,181.87,150.76
94,1/24/2019,617.75,3.975,35.77,179.825,2.65,282,335.75,162.4,53,18.385,182.945,154.11
95,1/25/2019,619.825,4.7,38.885,203.525,2.55,283.025,336.8,162.4,53.275,18.385,185.285,157.85
96,1/26/2019,619.725,4.7,38.885,203.5,2.55,282.925,336.8,162.4,53.375,18.385,185.49,161.11
97,1/27/2019,626.775,4.625,38.885,193.85,2.575,292.6,334.175,164.4,53.675,18.385,185.55,161.6
98,1/28/2019,562.377777778,3.933333333,37.155555556,151.555555556,2.355555556,272.488888889,289.888888889,159.911111111,49.155555556,17.215151515,167.939393939,154.777777778
99,1/29/2019,568.822222222,3.977777778,37.155555556,145.911111111,2.311111111,298.288888889,270.533333333,173.555555556,67.266666667,17.215151515,173.498989899,152.796969697
100,1/30/2019,510.96,3.52,33.22,128.38,2.06,289.96,221,165.2,82.32,16.316923077,154.846153846,143.278461538
101,1/31/2019,507.84,3.56,33.815384615,130.62,2.06,293.06,214.78,171.42,82.76,19.384615385,156.210769231,148.103076923
102,2/1/2019,504.9,3.6,34.081538462,129.04,1.94,293.32,211.58,174.62,83.3,19.384615385,156.807692308,153.393846154
103,2/2/2019,505.22,3.56,34.112307692,132.28,1.94,283.7,221.52,174.62,83.36,19.384615385,156.930769231,154.575384615
104,2/3/2019,517.24,3.8,34.112307692,159.86,1.94,270.74,246.5,174.62,83.5,19.384615385,157.192307692,154.478461538
105,2/4/2019,512.44,3.68,34.127692308,156.9,2.02,276.34,236.1,185,83.66,19.86,157.586153846,162.063076923
106,2/5/2019,520.56,3.66,34.183076923,149.52,1.94,290.14,230.42,190.66,83.84,20.075384615,157.898461538,161.612307692
107,2/6/2019,519.8,3.82,35.484615385,150.82,1.98,282.3,237.5,193.54,85.02,20.090769231,158.743076923,165.884615385
108,2/7/2019,517.76,3.9,35.52,153.64,1.9,285.74,232.02,199.02,86.6,20.250769231,160.333846154,154.130769231
