SaleDate,UnitOfMeasureName,ProductCategoryName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,Units
2/27/2022,Grams,Kief,5019.75,0,0,181,5019.75,181,159
6/3/2019,Grams,Concentrate,6901.13,0,0,220,6901.13,220,103
4/4/2022,Grams,Kief,3293.21,0,0,114.1,3293.21,114.1,97
5/21/2022,Ounces,Buds,90,0,0,0.24,90,0.24,2
3/5/2019,Each,Buds,13676.21,1165,13676.21,0,0,1165,830
1/17/2022,Milligrams,Raw Pre-Rolls,72.06,0,0,5500,72.06,5500,6
8/18/2021,Milligrams,Raw Pre-Rolls,1555,0,0,122000,1555,122000,100
11/15/2019,Grams,Shake/Trim (by strain),11758.3,0,0,819.5,11758.3,819.5,621
5/15/2019,Grams,Concentrate,3808.1,0,0,50.5,3808.1,50.5,50
3/10/2022,Grams,Shake/Trim,2125,0,0,257.5,2125,257.5,41
12/8/2021,Ounces,Buds,54,0,0,0.13,54,0.13,1
9/23/2021,Grams,Infused Pre-Rolls,24784.38,0,0,847.59,24784.38,847.59,755
6/17/2019,Grams,Buds,530378.31,0,0,36817.69,530378.31,36817.69,12653
3/13/2020,Each,Infused (non-edible),11687.59,300,11687.59,0,0,300,262
2/16/2022,Grams,Shake/Trim,6719.3,0,0,1776,6719.3,1776,203
6/25/2022,Grams,Concentrate,3614.01,0,0,73.5,3614.01,73.5,72
3/20/2022,Grams,Buds,1504538.99,0,0,125004.17,1504538.99,125004.17,28971
5/7/2020,Grams,Raw Pre-Rolls,3578.08,0,0,347.2,3578.08,347.2,130
4/28/2019,Grams,Buds,435696.04,0,0,29889.01,435696.04,29889.01,12802
10/29/2021,Each,Concentrate (Each),313098.45,6266,313098.45,0,0,6266,5631
3/4/2020,Each,Infused (edible),250499.38,8762,250499.38,0,0,8762,6671
6/23/2019,Each,Infused (non-edible),59842.32,1226,59842.32,0,0,1226,1076
6/18/2023,Each,Infused Beverage,43023.34,6076,43023.34,0,0,6076,3088
11/6/2021,Each,Concentrate (Each),318470.82,6114,318470.82,0,0,6114,5439
8/28/2020,Each,Infused (non-edible),14736.56,370,14736.56,0,0,370,307
11/1/2022,Pounds,Buds,681.43,0,0,0.1,681.43,0.1,13
3/3/2021,Each,Concentrate (Each),176610.82,3435,176610.82,0,0,3435,3124
2/15/2020,Grams,Raw Pre-Rolls,265101.47,0,0,16964.77,265101.47,16964.77,13733
1/4/2023,Each,Infused (edible),467602.12,23663,467602.12,0,0,23663,17879
4/20/2022,Milligrams,Raw Pre-Rolls,338.24,0,0,28000,338.24,28000,14
6/28/2022,Grams,Shake/Trim,10128.9,0,0,2048.5,10128.9,2048.5,259
2/2/2019,Grams,Concentrate,4038.8,0,0,59,4038.8,59,75
9/15/2022,Grams,Infused Pre-Rolls,53802.13,0,0,2469.38,53802.13,2469.38,1886
6/6/2023,Grams,Buds,1438905.34,0,0,260552.63,1438905.34,260552.63,37338
10/18/2022,Milligrams,Kief,24,0,0,1000,24,1000,1
11/9/2020,Each,Vape Product,366710.16,6309,366710.16,0,0,6309,5426
3/6/2023,Each,Concentrate (Each),178532.7,4552,178532.7,0,0,4552,3940
2/6/2023,Grams,Infused Pre-Rolls,41891.81,0,0,1933.04,41891.81,1933.04,1538
7/19/2023,Each,Vape Product,850661.66,24819,850661.66,0,0,24819,21991
8/10/2020,Grams,Kief,3218.62,0,0,114,3218.62,114,93
5/12/2019,Grams,Shake/Trim,1024.42,0,0,77,1024.42,77,16
5/27/2023,Each,Infused Beverage,74692.01,10368,74692.01,0,0,10368,5275
11/6/2021,Grams,Shake/Trim,2990.35,0,0,441.3,2990.35,441.3,47
4/26/2019,Each,Infused (non-edible),32785.69,762,32785.69,0,0,762,665
1/13/2019,Grams,Shake/Trim (by strain),7354.56,0,0,479.75,7354.56,479.75,140
3/11/2022,Grams,Concentrate,8462.62,0,0,148.08,8462.62,148.08,145
2/13/2023,Each,Immature Plants,90,3,90,0,0,3,2
11/24/2020,Grams,Buds,1345239.01,0,0,94637.6,1345239.01,94637.6,24817
6/26/2020,Each,Vape Product,440186.89,7361,440186.89,0,0,7361,6240
2/25/2021,Grams,Raw Pre-Rolls,364812.19,0,0,24029.67,364812.19,24029.67,16921
1/5/2019,Grams,Shake/Trim (by strain),14278.56,0,0,988,14278.56,988,309
8/24/2021,Pounds,Raw Pre-Rolls,16,0,0,0,16,0,1
12/11/2020,Grams,Kief,4700.01,0,0,174,4700.01,174,144
8/18/2021,Milligrams,Kief,30,0,0,1000,30,1000,1
8/24/2019,Grams,Concentrate,4458.8,0,0,73,4458.8,73,66
12/10/2022,Milligrams,Infused Pre-Rolls,231.14,0,0,12000,231.14,12000,11
4/15/2023,Each,Concentrate (Each),232565.25,5989,232565.25,0,0,5989,5212
3/9/2023,Grams,Raw Pre-Rolls,646330.36,0,0,65983.35,646330.36,65983.35,40747
6/23/2023,Grams,Kief,3001.48,0,0,143.7,3001.48,143.7,110
5/18/2022,Grams,Infused Pre-Rolls,37796.03,0,0,1419.27,37796.03,1419.27,1193
8/27/2020,Grams,Buds,1268106.86,0,0,88312.6,1268106.86,88312.6,23598
5/21/2023,Grams,Infused Pre-Rolls,66340.93,0,0,3251.23,66340.93,3251.23,2621
2/13/2022,Grams,Concentrate,5713.43,0,0,92,5713.43,92,93
8/10/2022,Each,Concentrate (Each),212224.99,5177,212224.99,0,0,5177,4509
12/13/2021,Each,Suppository,100,1,100,0,0,1,1
