UnitOfMeasureName,SaleDate,ProductCategoryName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,Units
Grams,7/27/2023,Infused Pre-Rolls,115,0,0,4.7,115,4.7,4
Grams,7/28/2023,Raw Pre-Rolls,4486.33,0,0,542,4486.33,542,338
Each,7/25/2023,Vape Product,6653.63,293,6653.63,0,0,293,269
Each,7/29/2023,Infused Beverage,1410,85,1410,0,0,85,35
Each,7/28/2023,Infused (edible),8061.15,437,8061.15,0,0,437,300
Grams,7/27/2023,Raw Pre-Rolls,2466.62,0,0,292.3,2466.62,292.3,176
Each,7/24/2023,Concentrate (Each),394.55,14,394.55,0,0,14,12
Each,7/24/2023,Infused (edible),1820.65,68,1820.65,0,0,68,57
Each,7/28/2023,Infused (non-edible),0.02,2,0.02,0,0,2,2
Grams,7/26/2023,Buds,1402,0,0,176,1402,176,36
Grams,7/28/2023,Raw Pre-Rolls,2337.4,0,0,190.65,2337.4,190.65,128
Each,7/27/2023,Concentrate (Each),390,9,390,0,0,9,9
Grams,7/26/2023,Infused Pre-Rolls,117,0,0,6.75,117,6.75,8
Each,7/30/2023,Infused Beverage,63,9,63,0,0,9,6
Each,7/29/2023,Infused (non-edible),76,1,76,0,0,1,1
Each,7/25/2023,Infused (edible),556.59,25,556.59,0,0,25,20
Grams,7/26/2023,Buds,394.66,0,0,54,394.66,54,11
Each,7/27/2023,Concentrate (Each),85,3,85,0,0,3,3
Each,7/24/2023,Infused (edible),1477.64,69,1477.64,0,0,69,57
Grams,7/25/2023,Kief,15,0,0,0.5,15,0.5,1
Grams,7/25/2023,Infused Pre-Rolls,54,0,0,3,54,3,3
Grams,7/27/2023,Shake/Trim,0.01,0,0,7,0.01,7,1
Each,7/27/2023,Vape Product,2046,44,2046,0,0,44,43
Grams,7/29/2023,Buds,1417.5,0,0,187.5,1417.5,187.5,38
Grams,7/25/2023,Infused Pre-Rolls,117.5,0,0,3.1,117.5,3.1,6
Grams,7/27/2023,Buds,7142.96,0,0,1011.1,7142.96,1011.1,166
Grams,7/30/2023,Buds,586,0,0,95,586,95,15
Each,7/28/2023,Infused (edible),545,17,545,0,0,17,13
Grams,7/29/2023,Buds,417.28,0,0,49,417.28,49,11
Grams,7/30/2023,Buds,8773.38,0,0,1246,8773.38,1246,205
Grams,7/28/2023,Buds,9802.28,0,0,2093,9802.28,2093,201
Each,7/25/2023,Concentrate (Each),99.17,3,99.17,0,0,3,3
Grams,7/25/2023,Infused Pre-Rolls,47,0,0,3,47,3,3
Grams,7/29/2023,Raw Pre-Rolls,6322.75,0,0,612,6322.75,612,328
Each,7/26/2023,Concentrate (Each),1558,37,1558,0,0,37,29
Grams,7/24/2023,Kief,30,0,0,1,30,1,1
Grams,7/24/2023,Raw Pre-Rolls,14025,0,0,1375.4,14025,1375.4,761
Grams,7/27/2023,Buds,2252,0,0,164.5,2252,164.5,33
Grams,7/29/2023,Infused Pre-Rolls,719.6,0,0,52,719.6,52,38
Grams,7/26/2023,Buds,1933,0,0,329.5,1933,329.5,24
Grams,7/29/2023,Shake/Trim (by strain),611.2,0,0,147,611.2,147,17
Grams,7/28/2023,Concentrate,34,0,0,1,34,1,1
Each,7/30/2023,Infused Beverage,20,3,20,0,0,3,3
Grams,7/26/2023,Infused Pre-Rolls,225.45,0,0,15,225.45,15,20
Grams,7/25/2023,Infused Pre-Rolls,273.3,0,0,14.8,273.3,14.8,10
Grams,7/27/2023,Buds,12657,0,0,1067,12657,1067,253
Grams,7/29/2023,Raw Pre-Rolls,632,0,0,63,632,63,51
Each,7/27/2023,Concentrate (Each),430,12,430,0,0,12,12
Each,7/24/2023,Infused Beverage,12,2,12,0,0,2,2
Each,7/29/2023,Infused (non-edible),70,1,70,0,0,1,1
Each,7/30/2023,Infused (non-edible),39.6,1,39.6,0,0,1,1
Each,7/27/2023,Infused (non-edible),154.9,3,154.9,0,0,3,3
Grams,7/27/2023,Buds,3998.76,0,0,524.5,3998.76,524.5,95
Each,7/28/2023,Concentrate (Each),174.25,5,174.25,0,0,5,5
Each,7/29/2023,Infused (edible),3616.57,183,3616.57,0,0,183,150
Grams,7/30/2023,Raw Pre-Rolls,1054,0,0,80.8,1054,80.8,29
Grams,7/25/2023,Kief,24,0,0,1,24,1,1
Each,7/25/2023,Infused (edible),419,19,419,0,0,19,16
Grams,7/24/2023,Raw Pre-Rolls,459.6,0,0,50.75,459.6,50.75,42
Grams,7/27/2023,Shake/Trim (by strain),960,0,0,238,960,238,13
Grams,7/30/2023,Buds,8090.5,0,0,838.1,8090.5,838.1,193
Each,7/25/2023,Infused Beverage,42,8,42,0,0,8,5
Each,7/25/2023,Vape Product,650.01,18,650.01,0,0,18,18
Grams,7/29/2023,Raw Pre-Rolls,15637.27,0,0,1343.75,15637.27,1343.75,793
Grams,7/25/2023,Shake/Trim (by strain),140,0,0,28,140,28,3
Grams,7/24/2023,Raw Pre-Rolls,4862.7,0,0,397.5,4862.7,397.5,301
Each,7/26/2023,Concentrate (Each),262,9,262,0,0,9,7
Each,7/25/2023,Concentrate (Each),782.5,26,782.5,0,0,26,24
Each,7/27/2023,Infused Beverage,101.7,12,101.7,0,0,12,6
Each,7/24/2023,Concentrate (Each),1785,38,1785,0,0,38,33
Grams,7/27/2023,Shake/Trim (by strain),2511.24,0,0,931,2511.24,931,85
Grams,7/29/2023,Buds,4093.46,0,0,427,4093.46,427,106
Grams,7/25/2023,Infused Pre-Rolls,152,0,0,3.2,152,3.2,7
Grams,7/26/2023,Raw Pre-Rolls,1318.2,0,0,162.5,1318.2,162.5,119
Each,7/24/2023,Infused Beverage,104.4,21,104.4,0,0,21,9
Grams,7/24/2023,Concentrate,110,0,0,3.5,110,3.5,1
Each,7/24/2023,Infused (edible),3617.5,184,3617.5,0,0,184,144
Each,7/26/2023,Vape Product,1634,42,1634,0,0,42,40
Each,7/26/2023,Infused (edible),40,2,40,0,0,2,2
Each,7/29/2023,Concentrate (Each),736.65,14,736.65,0,0,14,11
Each,7/28/2023,Vape Product,5296.37,117,5296.37,0,0,117,115
Each,7/27/2023,Concentrate (Each),778,19,778,0,0,19,18
Grams,7/27/2023,Raw Pre-Rolls,792.38,0,0,55.3,792.38,55.3,20
Each,7/24/2023,Infused Beverage,134.62,15,134.62,0,0,15,13
Grams,7/30/2023,Infused Pre-Rolls,135,0,0,5,135,5,4
Each,7/30/2023,Infused Beverage,105,15,105,0,0,15,4
Each,7/27/2023,Infused Beverage,12,2,12,0,0,2,1
Grams,7/28/2023,Infused Pre-Rolls,550,0,0,22,550,22,20
Grams,7/24/2023,Infused Pre-Rolls,68,0,0,2.39,68,2.39,3
Grams,7/25/2023,Kief,75,0,0,3,75,3,3
Grams,7/24/2023,Infused Pre-Rolls,75,0,0,3.5,75,3.5,2
Each,7/27/2023,Concentrate (Each),395.5,10,395.5,0,0,10,12
Each,7/24/2023,Infused (non-edible),22.5,1,22.5,0,0,1,1
Each,7/30/2023,Concentrate (Each),921.5,24,921.5,0,0,24,20
Each,7/26/2023,Infused (non-edible),130,2,130,0,0,2,1
Each,7/27/2023,Infused (non-edible),130,4,130,0,0,4,4
Each,7/28/2023,Infused Beverage,536,93,536,0,0,93,47
Grams,7/30/2023,Buds,2271.11,0,0,294,2271.11,294,57
Each,7/28/2023,Vape Product,2422.42,49,2422.42,0,0,49,45
Grams,7/26/2023,Raw Pre-Rolls,921.15,0,0,123.5,921.15,123.5,82
Grams,7/25/2023,Shake/Trim (by strain),32,0,0,7,32,7,1
Grams,7/30/2023,Infused Pre-Rolls,537.5,0,0,25.25,537.5,25.25,18
Each,7/27/2023,Vape Product,4381.2,179,4381.2,0,0,179,156
Grams,7/28/2023,Raw Pre-Rolls,834,0,0,76.5,834,76.5,64
Grams,7/29/2023,Raw Pre-Rolls,2208.2,0,0,238.25,2208.2,238.25,148
Grams,7/26/2023,Buds,2792.62,0,0,337,2792.62,337,67
Grams,7/24/2023,Shake/Trim (by strain),95,0,0,21,95,21,2
Each,7/27/2023,Infused (edible),1411.5,72,1411.5,0,0,72,54
Each,7/24/2023,Infused Beverage,432,36,432,0,0,36,18
Each,7/24/2023,Concentrate (Each),565,12,565,0,0,12,11
Each,7/28/2023,Vape Product,4529.1,146,4529.1,0,0,146,141
Grams,7/24/2023,Raw Pre-Rolls,622,0,0,75.5,622,75.5,47
Grams,7/28/2023,Shake/Trim,0.01,0,0,14,0.01,14,1
Grams,7/26/2023,Infused Pre-Rolls,88.36,0,0,2.9,88.36,2.9,5
Grams,7/27/2023,Raw Pre-Rolls,865.91,0,0,82.75,865.91,82.75,71
Each,7/30/2023,Vape Product,1270,40,1270,0,0,40,37
Each,7/26/2023,Infused (edible),2268.35,116,2268.35,0,0,116,96
Each,7/27/2023,Infused Beverage,368,27,368,0,0,27,20
Each,7/26/2023,Infused Beverage,144,24,144,0,0,24,9
Grams,7/28/2023,Shake/Trim (by strain),1500,0,0,700,1500,700,68
Each,7/30/2023,Vape Product,7529.97,196,7529.97,0,0,196,183
Each,7/29/2023,Vape Product,4165,99,4165,0,0,99,87
Each,7/26/2023,Infused (edible),2086.63,105,2086.63,0,0,105,84
Grams,7/30/2023,Buds,7684.05,0,0,1121,7684.05,1121,171
Each,7/25/2023,Infused (non-edible),50,2,50,0,0,2,2
Grams,7/26/2023,Shake/Trim (by strain),270.16,0,0,67.8,270.16,67.8,25
Each,7/29/2023,Infused Beverage,313.8,108,313.8,0,0,108,40
Grams,7/29/2023,Buds,2191.29,0,0,317.5,2191.29,317.5,67
