UnitOfMeasureName,SaleDate,ProductCategoryName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,Units
Grams,7/27/2023,Infused Pre-Rolls,80,0,0,3.4,80,3.4,4
Grams,7/29/2023,Raw Pre-Rolls,12622.81,0,0,1133.9,12622.81,1133.9,707
Grams,7/24/2023,Raw Pre-Rolls,1510.92,0,0,163,1510.92,163,105
Each,7/27/2023,Concentrate (Each),140,2,140,0,0,2,2
Each,7/24/2023,Concentrate (Each),183.7,6,183.7,0,0,6,5
Grams,7/25/2023,Infused Pre-Rolls,222,0,0,5.36,222,5.36,8
Each,7/27/2023,Infused (non-edible),160,4,160,0,0,4,3
Each,7/26/2023,Infused Beverage,130.05,17,130.05,0,0,17,6
Each,7/28/2023,Vape Product,8231,241,8231,0,0,241,224
Grams,7/30/2023,Shake/Trim,59,0,0,14,59,14,1
Each,7/29/2023,Vape Product,1099,33,1099,0,0,33,31
Each,7/24/2023,Concentrate (Each),309,8,309,0,0,8,6
Each,7/26/2023,Infused (edible),812,38,812,0,0,38,29
Each,7/26/2023,Infused Beverage,37.2,7,37.2,0,0,7,4
Each,7/27/2023,Infused (edible),4008,211,4008,0,0,211,173
Grams,7/27/2023,Infused Pre-Rolls,40,0,0,2.5,40,2.5,1
Grams,7/25/2023,Buds,4692.48,0,0,632.25,4692.48,632.25,161
Each,7/29/2023,Vape Product,7015.6,200,7015.6,0,0,200,170
Grams,7/27/2023,Buds,4136,0,0,624,4136,624,110
Grams,7/29/2023,Infused Pre-Rolls,283,0,0,15.8,283,15.8,12
Grams,7/25/2023,Infused Pre-Rolls,50,0,0,2.5,50,2.5,1
Each,7/26/2023,Infused Beverage,345.8,49,345.8,0,0,49,29
Each,7/24/2023,Infused Beverage,209,15,209,0,0,15,14
Each,7/25/2023,Concentrate (Each),685,16,685,0,0,16,14
Each,7/24/2023,Infused (edible),2914.06,134,2914.06,0,0,134,107
Grams,7/26/2023,Buds,10250,0,0,1828,10250,1828,264
Grams,7/26/2023,Raw Pre-Rolls,831.66,0,0,105.6,831.66,105.6,74
Each,7/29/2023,Infused (edible),10789.65,824,10789.65,0,0,824,687
Each,7/29/2023,Infused Beverage,454,70,454,0,0,70,39
Each,7/28/2023,Vape Product,3168.28,67,3168.28,0,0,67,59
Each,7/28/2023,Infused Beverage,34.95,5,34.95,0,0,5,2
Each,7/24/2023,Vape Product,772,16,772,0,0,16,15
Grams,7/30/2023,Buds,1198,0,0,132.5,1198,132.5,22
Each,7/29/2023,Infused (edible),1334.55,82,1334.55,0,0,82,58
Grams,7/28/2023,Concentrate,90,0,0,2,90,2,2
Grams,7/26/2023,Raw Pre-Rolls,1544.57,0,0,143,1544.57,143,97
Each,7/25/2023,Infused (edible),2495.4,104,2495.4,0,0,104,100
Grams,7/28/2023,Buds,3467.52,0,0,441,3467.52,441,57
Grams,7/28/2023,Shake/Trim,264,0,0,70,264,70,8
Each,7/27/2023,Infused (edible),172,9,172,0,0,9,9
Each,7/27/2023,Infused Beverage,47.5,7,47.5,0,0,7,4
Grams,7/30/2023,Buds,1538,0,0,227.5,1538,227.5,33
Grams,7/24/2023,Infused Pre-Rolls,225,0,0,10.25,225,10.25,6
Grams,7/26/2023,Buds,14476.78,0,0,1561.5,14476.78,1561.5,334
Each,7/29/2023,Concentrate (Each),952.25,22,952.25,0,0,22,19
Each,7/25/2023,Vape Product,655,15,655,0,0,15,17
Each,7/26/2023,Concentrate (Each),180,6,180,0,0,6,6
Each,7/29/2023,Vape Product,2887.16,100,2887.16,0,0,100,94
Each,7/27/2023,Concentrate (Each),635,19,635,0,0,19,17
Each,7/30/2023,Infused Beverage,86,12,86,0,0,12,12
Grams,7/30/2023,Buds,5629,0,0,809,5629,809,118
Each,7/27/2023,Infused Beverage,1414.5,248,1414.5,0,0,248,59
Each,7/30/2023,Infused Beverage,91,13,91,0,0,13,5
Each,7/27/2023,Infused (edible),126.5,9,126.5,0,0,9,4
Each,7/30/2023,Vape Product,1518.05,39,1518.05,0,0,39,36
Grams,7/27/2023,Infused Pre-Rolls,30,0,0,1.5,30,1.5,1
Grams,7/27/2023,Buds,5401.55,0,0,686.25,5401.55,686.25,181
Grams,7/24/2023,Infused Pre-Rolls,129.36,0,0,6,129.36,6,4
Grams,7/24/2023,Concentrate,50,0,0,1,50,1,1
Grams,7/29/2023,Buds,5477.32,0,0,892.5,5477.32,892.5,186
Each,7/30/2023,Vape Product,2754.49,82,2754.49,0,0,82,77
Grams,7/27/2023,Shake/Trim,843.2,0,0,175,843.2,175,20
Each,7/29/2023,Vape Product,1909.25,53,1909.25,0,0,53,47
Each,7/24/2023,Infused Beverage,73,10,73,0,0,10,4
Each,7/25/2023,Infused (edible),2345.5,92,2345.5,0,0,92,67
Grams,7/29/2023,Infused Pre-Rolls,272.51,0,0,15,272.51,15,15
Each,7/24/2023,Infused (non-edible),25,1,25,0,0,1,1
Grams,7/27/2023,Kief,30,0,0,1,30,1,1
Each,7/28/2023,Vape Product,1128.75,31,1128.75,0,0,31,28
Each,7/24/2023,Infused Beverage,131.72,17,131.72,0,0,17,8
Grams,7/28/2023,Infused Pre-Rolls,1126.68,0,0,48.7,1126.68,48.7,39
Each,7/24/2023,Infused Beverage,41,9,41,0,0,9,6
Grams,7/29/2023,Infused Pre-Rolls,25,0,0,1.15,25,1.15,1
Each,7/25/2023,Infused Beverage,63.55,15,63.55,0,0,15,11
Grams,7/25/2023,Infused Pre-Rolls,238.73,0,0,10.5,238.73,10.5,7
Grams,7/24/2023,Buds,6597.75,0,0,872.5,6597.75,872.5,154
Each,7/27/2023,Vape Product,7830.02,225,7830.02,0,0,225,207
Grams,7/25/2023,Raw Pre-Rolls,2868.26,0,0,267,2868.26,267,169
Each,7/29/2023,Infused Beverage,59,8,59,0,0,8,4
Grams,7/29/2023,Raw Pre-Rolls,3548.2,0,0,191.4,3548.2,191.4,142
Each,7/26/2023,Concentrate (Each),628.5,17,628.5,0,0,17,13
Each,7/24/2023,Concentrate (Each),635,15,635,0,0,15,14
Each,7/25/2023,Infused (edible),620.7,36,620.7,0,0,36,25
Grams,7/26/2023,Buds,16925.75,0,0,4569,16925.75,4569,664
Grams,7/25/2023,Raw Pre-Rolls,334,0,0,77.5,334,77.5,36
Grams,7/30/2023,Shake/Trim,699.9,0,0,161,699.9,161,22
Grams,7/26/2023,Shake/Trim (by strain),720,0,0,343,720,343,16
Grams,7/28/2023,Shake/Trim (by strain),74,0,0,31,74,31,2
Grams,7/30/2023,Shake/Trim,45,0,0,21,45,21,2
Grams,7/26/2023,Infused Pre-Rolls,277,0,0,14.2,277,14.2,12
Each,7/25/2023,Concentrate (Each),25.01,2,25.01,0,0,2,2
Grams,7/29/2023,Raw Pre-Rolls,1780.71,0,0,177.75,1780.71,177.75,109
Grams,7/28/2023,Shake/Trim,105,0,0,21,105,21,3
Each,7/26/2023,Infused (edible),487.5,29,487.5,0,0,29,26
Each,7/27/2023,Infused Beverage,26,4,26,0,0,4,3
Grams,7/24/2023,Buds,2198.5,0,0,322,2198.5,322,69
Grams,7/24/2023,Raw Pre-Rolls,4349.48,0,0,414,4349.48,414,309
Each,7/24/2023,Infused (edible),2463,133,2463,0,0,133,90
Each,7/29/2023,Concentrate (Each),364,9,364,0,0,9,9
Grams,7/25/2023,Buds,1555.8,0,0,174,1555.8,174,28
Each,7/27/2023,Vape Product,258,8,258,0,0,8,8
Grams,7/26/2023,Raw Pre-Rolls,486,0,0,58.5,486,58.5,34
Each,7/28/2023,Concentrate (Each),1584,33,1584,0,0,33,32
Grams,7/30/2023,Buds,9210,0,0,1207.5,9210,1207.5,262
Grams,7/30/2023,Concentrate (Bulk),30,0,0,1,30,1,1
Each,7/27/2023,Vape Product,11085,322,11085,0,0,322,292
Grams,7/29/2023,Infused Pre-Rolls,410.91,0,0,21.4,410.91,21.4,14
Grams,7/27/2023,Buds,11468.48,0,0,1662.5,11468.48,1662.5,282
Grams,7/27/2023,Raw Pre-Rolls,4196.92,0,0,404.4,4196.92,404.4,178
Each,7/28/2023,Concentrate (Each),345,10,345,0,0,10,10
Each,7/29/2023,Infused (edible),8370.02,398,8370.02,0,0,398,320
Grams,7/29/2023,Kief,30,0,0,1,30,1,1
Grams,7/29/2023,Raw Pre-Rolls,13615.6,0,0,1309.7,13615.6,1309.7,691
Grams,7/29/2023,Shake/Trim (by strain),1417.49,0,0,539,1417.49,539,58
Each,7/26/2023,Infused (edible),580.99,30,580.99,0,0,30,26
Each,7/26/2023,Concentrate (Each),838.72,22,838.72,0,0,22,20
Grams,7/24/2023,Concentrate,50,0,0,1,50,1,1
Grams,7/26/2023,Shake/Trim (by strain),210,0,0,42,210,42,6
Each,7/24/2023,Vape Product,2286.75,72,2286.75,0,0,72,62
Grams,7/26/2023,Raw Pre-Rolls,2774.55,0,0,257.75,2774.55,257.75,200
Grams,7/26/2023,Raw Pre-Rolls,2019.9,0,0,193.7,2019.9,193.7,141
Grams,7/30/2023,Buds,2127.11,0,0,201,2127.11,201,63
Grams,7/30/2023,Shake/Trim,30,0,0,14,30,14,1
Each,7/28/2023,Vape Product,3898,105,3898,0,0,105,88
Each,7/24/2023,Infused Beverage,67.53,12,67.53,0,0,12,8
Each,7/29/2023,Infused Beverage,121.82,11,121.82,0,0,11,8
Each,7/30/2023,Concentrate (Each),195,6,195,0,0,6,6
Each,7/27/2023,Infused Beverage,426.5,75,426.5,0,0,75,30
Grams,7/27/2023,Shake/Trim (by strain),633.27,0,0,133,633.27,133,17
Each,7/26/2023,Infused (edible),6143.52,287,6143.52,0,0,287,234
Grams,7/26/2023,Infused Pre-Rolls,275,0,0,17.5,275,17.5,9
Each,7/28/2023,Infused (non-edible),50,1,50,0,0,1,1
Each,7/29/2023,Infused Beverage,183,21,183,0,0,21,16
Grams,7/30/2023,Buds,3758.75,0,0,508.5,3758.75,508.5,118
Grams,7/30/2023,Raw Pre-Rolls,52,0,0,9.8,52,9.8,7
Each,7/27/2023,Infused (edible),1979.23,102,1979.23,0,0,102,81
Each,7/29/2023,Infused (edible),727.5,35,727.5,0,0,35,29
Each,7/25/2023,Concentrate (Each),294,5,294,0,0,5,5
Each,7/27/2023,Infused (edible),5256.61,270,5256.61,0,0,270,227
Grams,7/25/2023,Infused Pre-Rolls,48,0,0,1.8,48,1.8,2
Grams,7/24/2023,Buds,3132,0,0,317,3132,317,63
Grams,7/30/2023,Raw Pre-Rolls,1813.56,0,0,148.5,1813.56,148.5,69
Each,7/29/2023,Infused (non-edible),395,6,395,0,0,6,6
Each,7/27/2023,Infused (non-edible),30,1,30,0,0,1,1
Grams,7/30/2023,Infused Pre-Rolls,76.25,0,0,2.4,76.25,2.4,4
Grams,7/28/2023,Buds,2384.25,0,0,189,2384.25,189,28
Grams,7/28/2023,Raw Pre-Rolls,3500.4,0,0,306.6,3500.4,306.6,236
Grams,7/26/2023,Shake/Trim (by strain),450.12,0,0,105,450.12,105,12
Grams,7/30/2023,Shake/Trim,117,0,0,42,117,42,6
Grams,7/25/2023,Buds,389,0,0,49,389,49,5
Each,7/29/2023,Vape Product,1383.75,33,1383.75,0,0,33,33
Grams,7/28/2023,Shake/Trim,66,0,0,21,66,21,2
Grams,7/30/2023,Shake/Trim (by strain),381.25,0,0,84,381.25,84,10
Each,7/28/2023,Infused Beverage,353.2,53,353.2,0,0,53,26
Grams,7/29/2023,Buds,1622.2,0,0,213.5,1622.2,213.5,46
Each,7/25/2023,Infused (edible),1130.5,54,1130.5,0,0,54,43
Each,7/25/2023,Vape Product,425,10,425,0,0,10,9
Grams,7/30/2023,Shake/Trim,360,0,0,112,360,112,7
Each,7/29/2023,Concentrate (Each),1354.41,45,1354.41,0,0,45,44
Grams,7/28/2023,Kief,60,0,0,3,60,3,3
Each,7/28/2023,Vape Product,7778,260,7778,0,0,260,228
Each,7/26/2023,Vape Product,213.03,9,213.03,0,0,9,9
Grams,7/24/2023,Kief,240,0,0,8,240,8,8
Each,7/30/2023,Concentrate (Each),128.6,4,128.6,0,0,4,4
Grams,7/28/2023,Buds,5202.75,0,0,784,5202.75,784,109
Grams,7/25/2023,Buds,10386.68,0,0,1118,10386.68,1118,265
Grams,7/24/2023,Shake/Trim (by strain),170,0,0,42,170,42,4
Grams,7/26/2023,Concentrate,100,0,0,2,100,2,2
Each,7/27/2023,Infused Beverage,7,1,7,0,0,1,1
Grams,7/30/2023,Buds,4366.47,0,0,475,4366.47,475,99
Each,7/30/2023,Infused (edible),633.12,47,633.12,0,0,47,37
Grams,7/24/2023,Kief,60,0,0,2,60,2,2
Grams,7/30/2023,Shake/Trim,600,0,0,168,600,168,6
Each,7/24/2023,Infused (non-edible),115,2,115,0,0,2,2
Each,7/29/2023,Infused (edible),970,40,970,0,0,40,37
Grams,7/30/2023,Raw Pre-Rolls,804.97,0,0,76,804.97,76,54
Grams,7/29/2023,Buds,8377.76,0,0,1256.5,8377.76,1256.5,144
Grams,7/27/2023,Infused Pre-Rolls,100,0,0,4,100,4,4
Grams,7/29/2023,Buds,996.14,0,0,115.5,996.14,115.5,29
Each,7/27/2023,Concentrate (Each),284.74,10,284.74,0,0,10,10
Each,7/30/2023,Vape Product,1075.35,71,1075.35,0,0,71,45
Grams,7/30/2023,Shake/Trim (by strain),240,0,0,56,240,56,7
Grams,7/28/2023,Shake/Trim (by strain),673.26,0,0,126,673.26,126,16
Grams,7/29/2023,Shake/Trim (by strain),226,0,0,56,226,56,7
Grams,7/26/2023,Buds,30951.04,0,0,4342.5,30951.04,4342.5,1111
Grams,7/24/2023,Shake/Trim,40,0,0,7,40,7,1
Grams,7/30/2023,Concentrate,252.36,0,0,7.5,252.36,7.5,5
Each,7/29/2023,Infused (non-edible),75,3,75,0,0,3,2
Grams,7/25/2023,Raw Pre-Rolls,3110.04,0,0,409.25,3110.04,409.25,304
Grams,7/25/2023,Buds,1452.75,0,0,105,1452.75,105,18
Grams,7/26/2023,Infused Pre-Rolls,65,0,0,2.5,65,2.5,1
Grams,7/25/2023,Shake/Trim (by strain),32,0,0,7,32,7,1
Grams,7/27/2023,Shake/Trim,380,0,0,140,380,140,13
Each,7/24/2023,Infused (edible),1511,105,1511,0,0,105,64
Each,7/27/2023,Infused (edible),3301.42,182,3301.42,0,0,182,137
Each,7/29/2023,Concentrate (Each),316.65,7,316.65,0,0,7,7
Each,7/28/2023,Infused (non-edible),45,1,45,0,0,1,1
Each,7/25/2023,Concentrate (Each),823.34,24,823.34,0,0,24,23
Grams,7/28/2023,Kief,45,0,0,2,45,2,1
Each,7/28/2023,Concentrate (Each),1321.37,34,1321.37,0,0,34,32
Grams,7/26/2023,Raw Pre-Rolls,7539.35,0,0,622.3,7539.35,622.3,458
Each,7/29/2023,Infused (non-edible),89,3,89,0,0,3,3
Each,7/26/2023,Infused Beverage,28,4,28,0,0,4,2
Grams,7/28/2023,Concentrate,1460,0,0,36,1460,36,22
Grams,7/24/2023,Infused Pre-Rolls,184,0,0,8.7,184,8.7,11
Each,7/28/2023,Infused (non-edible),70,2,70,0,0,2,2
Each,7/24/2023,Vape Product,11315.64,366,11315.64,0,0,366,330
Grams,7/29/2023,Concentrate (Bulk),225,0,0,5,225,5,2
Each,7/27/2023,Concentrate (Each),385,14,385,0,0,14,12
Grams,7/29/2023,Raw Pre-Rolls,3450.62,0,0,313.75,3450.62,313.75,201
Each,7/27/2023,Concentrate (Each),350.01,9,350.01,0,0,9,8
Grams,7/26/2023,Buds,999,0,0,70,999,70,12
Grams,7/25/2023,Raw Pre-Rolls,701.01,0,0,198.2,701.01,198.2,46
Grams,7/24/2023,Infused Pre-Rolls,469,0,0,27.8,469,27.8,21
Grams,7/25/2023,Shake/Trim (by strain),570,0,0,133,570,133,16
Each,7/28/2023,Vape Product,1200,32,1200,0,0,32,31
Grams,7/24/2023,Infused Pre-Rolls,205.14,0,0,8.04,205.14,8.04,9
Each,7/27/2023,Infused Beverage,1013.54,143,1013.54,0,0,143,74
Each,7/30/2023,Concentrate (Each),704.06,17,704.06,0,0,17,16
Each,7/27/2023,Concentrate (Each),241.33,4,241.33,0,0,4,4
Each,7/28/2023,Infused (non-edible),130.75,5,130.75,0,0,5,4
Each,7/25/2023,Vape Product,2538,88,2538,0,0,88,68
Grams,7/28/2023,Buds,28715.97,0,0,6491.5,28715.97,6491.5,692
Each,7/24/2023,Infused (edible),1425.07,64,1425.07,0,0,64,47
Each,7/26/2023,Infused (non-edible),30.02,3,30.02,0,0,3,2
Each,7/29/2023,Infused (non-edible),80,2,80,0,0,2,1
Each,7/26/2023,Vape Product,9675.65,508,9675.65,0,0,508,374
Grams,7/27/2023,Infused Pre-Rolls,30,0,0,1.5,30,1.5,2
Each,7/28/2023,Concentrate (Each),541.61,18,541.61,0,0,18,18
Each,7/26/2023,Concentrate (Each),945,18,945,0,0,18,18
Each,7/29/2023,Infused (edible),4714.13,251,4714.13,0,0,251,172
Each,7/30/2023,Vape Product,3166.75,83,3166.75,0,0,83,76
Each,7/27/2023,Infused (non-edible),20.83,1,20.83,0,0,1,1
Grams,7/29/2023,Buds,1259.15,0,0,140,1259.15,140,34
Each,7/28/2023,Concentrate (Each),2785.01,55,2785.01,0,0,55,49
Grams,7/25/2023,Shake/Trim (by strain),4758.5,0,0,2401,4758.5,2401,211
Grams,7/26/2023,Buds,1269,0,0,143,1269,143,36
Each,7/30/2023,Infused (edible),1173.5,53,1173.5,0,0,53,38
Each,7/29/2023,Infused (edible),18196.75,908,18196.75,0,0,908,716
Grams,7/27/2023,Shake/Trim (by strain),1567,0,0,483,1567,483,66
Grams,7/28/2023,Infused Pre-Rolls,350.5,0,0,13.6,350.5,13.6,7
Each,7/24/2023,Infused (edible),3059.5,190,3059.5,0,0,190,157
Grams,7/28/2023,Buds,6611.3,0,0,1178.5,6611.3,1178.5,164
Each,7/30/2023,Vape Product,5383,135,5383,0,0,135,130
Grams,7/30/2023,Infused Pre-Rolls,630,0,0,45,630,45,16
Grams,7/24/2023,Buds,1333.33,0,0,188,1333.33,188,48
Each,7/26/2023,Infused Beverage,255,22,255,0,0,22,13
Each,7/27/2023,Infused (edible),3111.39,130,3111.39,0,0,130,122
Grams,7/24/2023,Buds,2738.57,0,0,392,2738.57,392,78
Each,7/27/2023,Infused Beverage,417.79,66,417.79,0,0,66,34
Grams,7/30/2023,Buds,2262.91,0,0,368.5,2262.91,368.5,53
Each,7/25/2023,Vape Product,3344.4,113,3344.4,0,0,113,109
Each,7/25/2023,Infused Beverage,645.01,54,645.01,0,0,54,34
Grams,7/26/2023,Shake/Trim (by strain),2105,0,0,504,2105,504,31
Each,7/27/2023,Infused (non-edible),61,2,61,0,0,2,2
Each,7/29/2023,Concentrate (Each),472,9,472,0,0,9,9
Each,7/30/2023,Concentrate (Each),479,12,479,0,0,12,9
Grams,7/27/2023,Shake/Trim (by strain),568.19,0,0,280,568.19,280,10
Grams,7/26/2023,Shake/Trim (by strain),90,0,0,21,90,21,2
Each,7/24/2023,Infused Beverage,302.6,35,302.6,0,0,35,21
Grams,7/29/2023,Concentrate,40.49,0,0,1,40.49,1,1
Grams,7/24/2023,Buds,2492.56,0,0,301.5,2492.56,301.5,82
Each,7/27/2023,Concentrate (Each),30,1,30,0,0,1,1
Each,7/28/2023,Infused (non-edible),32,1,32,0,0,1,1
Each,7/26/2023,Concentrate (Each),392,8,392,0,0,8,7
Grams,7/26/2023,Raw Pre-Rolls,708,0,0,76,708,76,50
Grams,7/25/2023,Shake/Trim (by strain),420,0,0,196,420,196,18
Each,7/29/2023,Infused (edible),1417.7,61,1417.7,0,0,61,54
Grams,7/27/2023,Raw Pre-Rolls,252.25,0,0,20.75,252.25,20.75,14
Each,7/26/2023,Infused (non-edible),229.95,5,229.95,0,0,5,5
Grams,7/25/2023,Raw Pre-Rolls,1116,0,0,74.75,1116,74.75,26
Each,7/28/2023,Infused Beverage,216,35,216,0,0,35,16
Grams,7/25/2023,Raw Pre-Rolls,13487.13,0,0,1018.3,13487.13,1018.3,833
Each,7/24/2023,Infused (non-edible),100,2,100,0,0,2,2
Each,7/26/2023,Infused (edible),290,12,290,0,0,12,11
Each,7/30/2023,Infused (edible),3347.8,213,3347.8,0,0,213,166
Each,7/26/2023,Infused Beverage,135.5,22,135.5,0,0,22,11
Grams,7/27/2023,Raw Pre-Rolls,3022.8,0,0,254.9,3022.8,254.9,118
Grams,7/25/2023,Raw Pre-Rolls,6502.04,0,0,1080.5,6502.04,1080.5,542
Each,7/24/2023,Concentrate (Each),951.25,16,951.25,0,0,16,16
Grams,7/28/2023,Raw Pre-Rolls,2115.56,0,0,472,2115.56,472,190
Grams,7/27/2023,Buds,11358.82,0,0,1583.25,11358.82,1583.25,232
Each,7/29/2023,Infused Beverage,318,26,318,0,0,26,15
Each,7/28/2023,Concentrate (Each),796,25,796,0,0,25,24
Grams,7/26/2023,Shake/Trim,16.8,0,0,2,16.8,2,3
Each,7/24/2023,Concentrate (Each),846.4,33,846.4,0,0,33,32
Each,7/28/2023,Concentrate (Each),2048.29,54,2048.29,0,0,54,44
Grams,7/26/2023,Shake/Trim,303.45,0,0,63,303.45,63,9
Grams,7/24/2023,Raw Pre-Rolls,4407.52,0,0,320.5,4407.52,320.5,190
Grams,7/28/2023,Raw Pre-Rolls,1710,0,0,275,1710,275,71
Each,7/26/2023,Infused Beverage,111.5,11,111.5,0,0,11,7
Each,7/28/2023,Vape Product,5296,200,5296,0,0,200,179
Grams,7/30/2023,Infused Pre-Rolls,190.04,0,0,13,190.04,13,11
Each,7/26/2023,Infused Beverage,24,1,24,0,0,1,1
Each,7/25/2023,Infused Beverage,146.65,22,146.65,0,0,22,6
Each,7/26/2023,Vape Product,3486.75,88,3486.75,0,0,88,84
Grams,7/27/2023,Shake/Trim,37.5,0,0,7,37.5,7,1
Each,7/25/2023,Vape Product,732.22,24,732.22,0,0,24,22
Grams,7/29/2023,Concentrate (Bulk),150,0,0,5,150,5,8
Each,7/25/2023,Infused (edible),185,20,185,0,0,20,9
Each,7/27/2023,Infused (edible),863.2,41,863.2,0,0,41,36
Each,7/28/2023,Concentrate (Each),808.05,27,808.05,0,0,27,22
Grams,7/26/2023,Raw Pre-Rolls,269,0,0,29,269,29,22
Each,7/28/2023,Infused (non-edible),244.4,9,244.4,0,0,9,7
Each,7/29/2023,Vape Product,1267,37,1267,0,0,37,35
Each,7/30/2023,Concentrate (Each),2369,36,2369,0,0,36,31
Grams,7/27/2023,Infused Pre-Rolls,231.64,0,0,11.6,231.64,11.6,9
Each,7/26/2023,Infused (edible),1486,134,1486,0,0,134,109
Each,7/30/2023,Vape Product,1322.3,50,1322.3,0,0,50,47
Grams,7/28/2023,Shake/Trim (by strain),455,0,0,91,455,91,10
Grams,7/27/2023,Raw Pre-Rolls,1545.51,0,0,181.5,1545.51,181.5,145
Each,7/27/2023,Infused Beverage,238,45,238,0,0,45,20
Each,7/29/2023,Infused Beverage,44,6,44,0,0,6,4
Grams,7/29/2023,Buds,4627.89,0,0,504,4627.89,504,79
Each,7/28/2023,Vape Product,1170,35,1170,0,0,35,32
Each,7/27/2023,Infused (edible),578,28,578,0,0,28,24
Grams,7/29/2023,Raw Pre-Rolls,6332.69,0,0,548.75,6332.69,548.75,387
Grams,7/24/2023,Infused Pre-Rolls,105,0,0,2.9,105,2.9,4
Each,7/29/2023,Infused Beverage,176,20,176,0,0,20,10
Each,7/25/2023,Concentrate (Each),430,11,430,0,0,11,10
Grams,7/25/2023,Concentrate,204.5,0,0,4,204.5,4,4
Grams,7/27/2023,Concentrate,40,0,0,1,40,1,1
Grams,7/25/2023,Buds,9300,0,0,813,9300,813,194
Grams,7/30/2023,Infused Pre-Rolls,85,0,0,8,85,8,5
Each,7/25/2023,Concentrate (Each),287,6,287,0,0,6,6
Each,7/24/2023,Vape Product,5640.11,151,5640.11,0,0,151,142
Each,7/29/2023,Vape Product,711,27,711,0,0,27,26
Grams,7/24/2023,Raw Pre-Rolls,514.2,0,0,53,514.2,53,30
Grams,7/29/2023,Concentrate,600,0,0,17.5,600,17.5,5
Grams,7/30/2023,Concentrate (Bulk),50,0,0,1,50,1,1
Grams,7/30/2023,Raw Pre-Rolls,1890.8,0,0,214.5,1890.8,214.5,125
Grams,7/26/2023,Shake/Trim (by strain),180,0,0,56,180,56,2
Each,7/29/2023,Vape Product,4225.04,151,4225.04,0,0,151,131
Grams,7/30/2023,Buds,3885.4,0,0,464,3885.4,464,109
Grams,7/29/2023,Infused Pre-Rolls,640,0,0,32,640,32,25
Grams,7/27/2023,Kief,172.5,0,0,8,172.5,8,5
Grams,7/25/2023,Buds,10231.01,0,0,2215.5,10231.01,2215.5,266
Each,7/24/2023,Concentrate (Each),1056,43,1056,0,0,43,42
Grams,7/28/2023,Infused Pre-Rolls,30,0,0,1.5,30,1.5,2
Each,7/27/2023,Concentrate (Each),1120,31,1120,0,0,31,27
Each,7/27/2023,Vape Product,1090,43,1090,0,0,43,35
Each,7/29/2023,Vape Product,1939.98,75,1939.98,0,0,75,70
Grams,7/27/2023,Shake/Trim (by strain),371.1,0,0,70,371.1,70,10
Each,7/26/2023,Infused Beverage,104.13,9,104.13,0,0,9,8
Grams,7/25/2023,Raw Pre-Rolls,577.5,0,0,48,577.5,48,33
Each,7/27/2023,Infused Beverage,142.8,29,142.8,0,0,29,26
Grams,7/29/2023,Kief,17.5,0,0,1,17.5,1,1
Each,7/29/2023,Vape Product,13688.65,417,13688.65,0,0,417,381
Grams,7/27/2023,Concentrate,75,0,0,3.5,75,3.5,1
Grams,7/30/2023,Buds,6978.61,0,0,587.43,6978.61,587.43,165
Each,7/27/2023,Infused Beverage,448,64,448,0,0,64,25
Each,7/26/2023,Infused (edible),2114.18,122,2114.18,0,0,122,82
Each,7/24/2023,Infused (edible),9659.02,474,9659.02,0,0,474,394
Grams,7/26/2023,Buds,3285.1,0,0,766.5,3285.1,766.5,81
Grams,7/25/2023,Shake/Trim,570,0,0,133,570,133,18
Each,7/30/2023,Concentrate (Each),1494.77,35,1494.77,0,0,35,26
Each,7/30/2023,Vape Product,19379.6,588,19379.6,0,0,588,504
Grams,7/28/2023,Raw Pre-Rolls,838,0,0,83.8,838,83.8,52
Grams,7/24/2023,Shake/Trim (by strain),209.7,0,0,42,209.7,42,6
Grams,7/30/2023,Concentrate,259.53,0,0,9,259.53,9,4
Each,7/29/2023,Infused Beverage,394,58,394,0,0,58,30
Each,7/25/2023,Concentrate (Each),45,1,45,0,0,1,1
Grams,7/28/2023,Infused Pre-Rolls,130,0,0,7,130,7,4
Grams,7/25/2023,Raw Pre-Rolls,1139,0,0,98.3,1139,98.3,61
Grams,7/25/2023,Infused Pre-Rolls,25,0,0,1,25,1,1
Grams,7/29/2023,Shake/Trim,88.2,0,0,10.5,88.2,10.5,16
Grams,7/24/2023,Raw Pre-Rolls,1673.6,0,0,224,1673.6,224,170
Grams,7/24/2023,Shake/Trim (by strain),210,0,0,49,210,49,7
Grams,7/25/2023,Infused Pre-Rolls,50,0,0,2,50,2,2
Each,7/27/2023,Infused (edible),527,24,527,0,0,24,19
Grams,7/26/2023,Raw Pre-Rolls,1191.9,0,0,80.4,1191.9,80.4,34
Grams,7/24/2023,Infused Pre-Rolls,310,0,0,11,310,11,10
Each,7/30/2023,Infused (edible),4130.8,247,4130.8,0,0,247,183
Grams,7/25/2023,Shake/Trim (by strain),40,0,0,7,40,7,1
Each,7/27/2023,Vape Product,9666.28,412,9666.28,0,0,412,383
Grams,7/25/2023,Raw Pre-Rolls,386,0,0,39.8,386,39.8,27
Each,7/26/2023,Infused Beverage,241.85,39,241.85,0,0,39,21
Grams,7/26/2023,Raw Pre-Rolls,1269.84,0,0,131.5,1269.84,131.5,102
