SaleDate,UnitOfMeasureName,ProductCategoryName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,Units
6/5/2022,Each,Concentrate (Each),38329.97,1083,38329.97,0,0,1083,835
7/29/2023,Each,Vape Product,105402.27,3867,105402.27,0,0,3867,3086
9/3/2019,Grams,Concentrate,4782.95,0,0,85,4782.95,85,104
4/9/2023,Grams,Infused Pre-Rolls,6904.67,0,0,391.55,6904.67,391.55,289
4/9/2020,Each,Infused (edible),111952.41,3985,111952.41,0,0,3985,2562
4/4/2019,Each,Infused (non-edible),2467.99,73,2467.99,0,0,73,54
11/16/2021,Grams,Shake/Trim,1325.75,0,0,253.2,1325.75,253.2,11
10/10/2019,Grams,Buds,231629.34,0,0,21645.1,231629.34,21645.1,4854
10/30/2020,Each,Vape Product,135354.95,2866,135354.95,0,0,2866,2396
7/24/2022,Grams,Kief,487.68,0,0,29,487.68,29,24
8/8/2022,Grams,Buds,271101.91,0,0,36224.33,271101.91,36224.33,5853
12/29/2022,Each,Infused (edible),128804.75,5969,128804.75,0,0,5969,3778
2/8/2023,Each,Concentrate (Each),50314.18,1680,50314.18,0,0,1680,1271
5/27/2019,Grams,Shake/Trim,789.72,0,0,94,789.72,94,50
10/5/2021,Grams,Kief,301.01,0,0,17.3,301.01,17.3,13
7/2/2020,Each,Vape Product,162231.13,3350,162231.13,0,0,3350,2736
5/7/2023,Each,Concentrate (Each),35363.04,1144,35363.04,0,0,1144,935
5/6/2021,Each,Infused (edible),118573.81,4094,118573.81,0,0,4094,2913
3/3/2023,Grams,Raw Pre-Rolls,126075.25,0,0,15791.8,126075.25,15791.8,7063
5/21/2023,Each,Infused Beverage,6078.96,832,6078.96,0,0,832,346
8/16/2022,Each,Concentrate (Each),41604.34,1195,41604.34,0,0,1195,939
3/16/2023,Grams,Infused Pre-Rolls,10862.28,0,0,641.58,10862.28,641.58,431
6/18/2022,Grams,Shake/Trim,304.39,0,0,71.05,304.39,71.05,7
7/11/2022,Grams,Infused Pre-Rolls,6696.69,0,0,346.49,6696.69,346.49,275
3/3/2021,Grams,Raw Pre-Rolls,99089.99,0,0,9001.33,99089.99,9001.33,4640
1/5/2019,Grams,Buds,12930.18,0,0,1289.32,12930.18,1289.32,282
6/29/2019,Each,Suppository,17,1,17,0,0,1,1
10/20/2021,Grams,Buds,319897.79,0,0,31307.09,319897.79,31307.09,6305
3/17/2022,Grams,Concentrate,2615.2,0,0,66,2615.2,66,51
4/27/2019,Each,Raw Pre-Rolls,135,10,135,0,0,10,7
10/12/2021,Grams,Shake/Trim,1769.67,0,0,372.4,1769.67,372.4,17
8/31/2021,Grams,Buds,376975.36,0,0,36840.98,376975.36,36840.98,7377
9/16/2022,Grams,Kief,876.82,0,0,54.5,876.82,54.5,48
6/4/2023,Each,Infused (edible),77777.32,3707,77777.32,0,0,3707,2438
3/27/2020,Each,Concentrate (Each),58736.88,1301,58736.88,0,0,1301,1060
6/17/2019,Each,Raw Pre-Rolls,155.56,15,155.56,0,0,15,13
12/6/2019,Each,Concentrate (Each),65712.5,1762,65712.5,0,0,1762,1372
6/12/2021,Each,Vape Product,134848.52,2744,134848.52,0,0,2744,2340
6/9/2019,Grams,Infused Pre-Rolls,45.6,0,0,4,45.6,4,4
6/16/2021,Grams,Shake/Trim (by strain),10694.24,0,0,1907.85,10694.24,1907.85,236
5/8/2022,Grams,Concentrate (Bulk),205.22,0,0,5,205.22,5,3
7/21/2022,Grams,Shake/Trim,520.76,0,0,99.2,520.76,99.2,14
8/30/2022,Grams,Buds,269575.53,0,0,36463.52,269575.53,36463.52,5677
11/4/2019,Grams,Kief,398.84,0,0,15.5,398.84,15.5,21
10/27/2020,Grams,Shake/Trim (by strain),13707.32,0,0,934.5,13707.32,934.5,490
2/13/2023,Each,Infused Beverage,4386.16,635,4386.16,0,0,635,256
6/1/2020,Each,Vape Product,97683.37,1988,97683.37,0,0,1988,1612
4/8/2022,Milligrams,Infused Pre-Rolls,15.8,0,0,1000,15.8,1000,1
9/21/2022,Grams,Concentrate (Bulk),478,0,0,10,478,10,11
6/12/2023,Grams,Concentrate (Bulk),33.33,0,0,1,33.33,1,1
2/28/2020,Grams,Infused Pre-Rolls,3508.72,0,0,172.24,3508.72,172.24,146
1/24/2021,Each,Infused (non-edible),5970.71,198,5970.71,0,0,198,131
6/27/2021,Grams,Concentrate,2873.82,0,0,56,2873.82,56,49
1/11/2023,Grams,Concentrate (Bulk),90,0,0,1.5,90,1.5,2
9/15/2020,Grams,Infused Pre-Rolls,5633.94,0,0,260,5633.94,260,204
10/15/2021,Each,Infused (non-edible),7271.2,232,7271.2,0,0,232,154
8/10/2020,Each,Concentrate (Each),58040.89,1360,58040.89,0,0,1360,1061
4/1/2023,Grams,Raw Pre-Rolls,90729.95,0,0,11981.35,90729.95,11981.35,5727
11/28/2020,Each,Infused (edible),117463.85,4014,117463.85,0,0,4014,2545
7/7/2019,Each,Concentrate (Each),88949.05,1936,88949.05,0,0,1936,1517
10/30/2022,Grams,Concentrate,1522.87,0,0,43.5,1522.87,43.5,42
9/17/2021,Grams,Kief,1435.52,0,0,86.5,1435.52,86.5,51
11/21/2019,Grams,Buds,241120.41,0,0,22544.86,241120.41,22544.86,4609
1/31/2021,Grams,Raw Pre-Rolls,78285.29,0,0,6988.55,78285.29,6988.55,3679
3/21/2021,Each,Infused (non-edible),3745.04,120,3745.04,0,0,120,106
7/15/2020,Each,Infused (edible),112828.64,3697,112828.64,0,0,3697,2477
1/11/2020,Grams,Infused Pre-Rolls,2881.23,0,0,152.5,2881.23,152.5,117
7/2/2021,Grams,Shake/Trim (by strain),13126.29,0,0,2683.25,13126.29,2683.25,336
10/4/2019,Grams,Concentrate,8190.58,0,0,169,8190.58,169,140
12/14/2022,Each,Vape Product,120013.15,4035,120013.15,0,0,4035,3028
12/23/2021,Milligrams,Concentrate,670.63,0,0,10500,670.63,10500,11
3/7/2022,Grams,Shake/Trim (by strain),5385.22,0,0,1036,5385.22,1036,120
11/24/2021,Each,Infused (non-edible),6547,218,6547,0,0,218,160
4/22/2021,Each,Infused Beverage,5537.43,785,5537.43,0,0,785,389
11/24/2018,Grams,Buds,13139.43,0,0,1314.29,13139.43,1314.29,230
9/17/2020,Grams,Raw Pre-Rolls,88332.26,0,0,7752.3,88332.26,7752.3,3968
7/22/2019,Each,Concentrate (Each),127097.25,2679,127097.25,0,0,2679,2127
1/17/2023,Each,Suppository,139.84,8,139.84,0,0,8,7
3/6/2022,Grams,Raw Pre-Rolls,84198.97,0,0,8062,84198.97,8062,4331
8/25/2020,Each,Concentrate (Each),54963.21,1343,54963.21,0,0,1343,1069
1/8/2020,Each,Vape Product,55747.96,1146,55747.96,0,0,1146,968
5/29/2020,Grams,Shake/Trim,142.88,0,0,20,142.88,20,15
3/17/2019,Each,Infused (edible),5357.3,203,5357.3,0,0,203,120
6/30/2020,Grams,Buds,400885.37,0,0,36706.85,400885.37,36706.85,7110
10/14/2020,Grams,Shake/Trim (by strain),3574.53,0,0,499,3574.53,499,126
1/2/2020,Grams,Infused Pre-Rolls,1116.45,0,0,55.19,1116.45,55.19,56
9/22/2020,Grams,Infused Pre-Rolls,5778.28,0,0,270.75,5778.28,270.75,193
3/8/2021,Grams,Concentrate,10708.95,0,0,208.66,10708.95,208.66,187
12/30/2021,Milligrams,Concentrate,257.59,0,0,4500,257.59,4500,6
11/25/2021,Each,Infused (non-edible),54,2,54,0,0,2,2
2/15/2021,Grams,Kief,1229.44,0,0,54,1229.44,54,44
10/1/2021,Each,Vape Product,197283.28,4540,197283.28,0,0,4540,3764
6/19/2021,Grams,Shake/Trim (by strain),7780.94,0,0,1330.5,7780.94,1330.5,229
8/9/2021,Each,Infused Beverage,4973.24,704,4973.24,0,0,704,338
7/26/2022,Each,Vape Product,112233.83,2923,112233.83,0,0,2923,2327
4/10/2021,Milligrams,Concentrate,62,0,0,0,62,0,2
1/29/2021,Grams,Buds,540184.82,0,0,50360.65,540184.82,50360.65,10234
6/16/2019,Grams,Infused Pre-Rolls,8,0,0,0.5,8,0.5,1
3/6/2021,Each,Infused (non-edible),8074.58,326,8074.58,0,0,326,205
3/20/2023,Grams,Concentrate,1069.03,0,0,33,1069.03,33,20
2/22/2022,Grams,Shake/Trim (by strain),9455.58,0,0,1981,9455.58,1981,167
