DBE,TOTAL,%_TOTAL
Minority-Owned Business,156,0.534
Veteran-Owned Business,27,0.092
Woman-Owned Business,92,0.315
LGBTQ+ -Owned Business,13,0.045
Disability-Owned Business,4,0.014
