SaleDate,ProductCategoryName,UnitOfMeasureName,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,TotalPrice
8/30/2023,Concentrate (Each),Each,5571,191314.88,0,0,5571,191314.88
9/1/2023,Immature Plants,Each,25,4.21,0,0,25,4.21
8/30/2023,Infused Beverage,Each,5077,35916.77,0,0,5077,35916.77
9/2/2023,Vape Product,Each,29190,974125.570000001,0,0,29190,974125.570000001
8/28/2023,Vape Product,Each,21595,738207.55,0,0,21595,738207.55
8/28/2023,Concentrate (Each),Each,4795,164779.22,0,0,4795,164779.22
8/29/2023,Concentrate,Grams,0,0,390,13457.47,390,13457.47
9/1/2023,Kief,Grams,0,0,164,3286.4,164,3286.4
9/3/2023,Shake/Trim,Grams,0,0,12801.5,42996.71,12801.5,42996.71
8/29/2023,Concentrate (Bulk),Grams,0,0,21.5,637.5,21.5,637.5
8/30/2023,Infused (non-edible),Each,294,11732.57,0,0,294,11732.57
8/29/2023,Buds,Grams,0,0,264015.07,1603577.08,264015.07,1603577.08
8/30/2023,Kief,Milligrams,0,0,1000,30,1000,30
9/3/2023,Infused Pre-Rolls,Grams,0,0,3755.96,74567.56,3755.96,74567.56
9/1/2023,Concentrate,Grams,0,0,831.75,27477.53,831.75,27477.53
9/1/2023,Buds,Grams,0,0,488576.2,2829535.31,488576.2,2829535.31
8/30/2023,Raw Pre-Rolls,Grams,0,0,78628.45,734542.560000001,78628.45,734542.560000001
9/1/2023,Infused (edible),Each,42709,803841.290000001,0,0,42709,803841.290000001
9/1/2023,Vape Product,Each,38382,1251523.98,0,0,38382,1251523.98
9/2/2023,Infused Beverage,Each,9239,64261.83,0,0,9239,64261.83
8/29/2023,Infused Beverage,Each,4326,29841.59,0,0,4326,29841.59
8/31/2023,Shake/Trim,Grams,0,0,12856,44222.71,12856,44222.71
8/29/2023,Suppository,Each,9,250.62,0,0,9,250.62
9/3/2023,Infused (non-edible),Each,364,13208.81,0,0,364,13208.81
9/2/2023,Infused (non-edible),Each,474,18326.55,0,0,474,18326.55
8/31/2023,Concentrate (Each),Each,5763,212110.8,0,0,5763,212110.8
8/30/2023,Kief,Grams,0,0,81.6,1903.84,81.6,1903.84
9/1/2023,Concentrate (Each),Each,7919,281867.34,0,0,7919,281867.34
9/2/2023,Concentrate,Grams,0,0,569.9,18851.32,569.9,18851.32
8/29/2023,Kief,Grams,0,0,94,2064.13,94,2064.13
9/3/2023,Concentrate,Grams,0,0,486.3,16828.55,486.3,16828.55
8/30/2023,Buds,Grams,0,0,300521.53,1798264.88,300521.53,1798264.88
8/29/2023,Infused (edible),Each,23758,450844.56,0,0,23758,450844.56
9/3/2023,Vape Product,Each,22862,762461.91,0,0,22862,762461.91
9/2/2023,Infused Pre-Rolls,Grams,0,0,4917.43,96393.83,4917.43,96393.83
9/3/2023,Buds,Grams,0,0,267265.17,1638641.1,267265.17,1638641.1
8/31/2023,Immature Plants,Each,2,20,0,0,2,20
8/30/2023,Concentrate,Grams,0,0,540,17588.3,540,17588.3
8/29/2023,Infused Pre-Rolls,Grams,0,0,2848.96,54985.87,2848.96,54985.87
8/30/2023,Shake/Trim,Grams,0,0,10061.5,36136.06,10061.5,36136.06
8/28/2023,Infused Pre-Rolls,Grams,0,0,2464.94,49800.26,2464.94,49800.26
8/31/2023,Shake/Trim (by strain),Grams,0,0,21048.2,68791.65,21048.2,68791.65
