SaleDate,ProductCategoryName,UnitOfMeasureName,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,TotalPrice
8/26/2023,Infused (edible),Each,4065,88176.25,0,0,4065,88176.25
10/10/2020,Infused (edible),Each,4265,129746.67,0,0,4265,129746.67
4/14/2019,Concentrate (Each),Each,1036,48682.87,0,0,1036,48682.87
12/4/2022,Infused Beverage,Each,599,5196.59,0,0,599,5196.59
6/15/2021,Concentrate (Bulk),Grams,0,0,1,52.5,1,52.5
1/23/2019,Buds,Grams,0,0,1567.94,16833.05,1567.94,16833.05
6/3/2022,Infused (non-edible),Each,155,4962,0,0,155,4962
10/16/2022,Shake/Trim,Grams,0,0,2.5,29.75,2.5,29.75
5/11/2022,Shake/Trim (by strain),Grams,0,0,1146.6,6551.86,1146.6,6551.86
1/26/2023,Vape Product,Each,3746,116809.52,0,0,3746,116809.52
4/28/2023,Infused (edible),Each,5115,107532.97,0,0,5115,107532.97
7/28/2022,Concentrate,Milligrams,0,0,4000,137.2,4000,137.2
8/30/2022,Infused (non-edible),Each,82,2464.37,0,0,82,2464.37
8/4/2023,Concentrate (Each),Each,1815,48358.2,0,0,1815,48358.2
3/4/2020,Vape Product,Each,1323,63376.86,0,0,1323,63376.86
6/26/2022,Kief,Milligrams,0,0,2000,60,2000,60
6/15/2023,Shake/Trim (by strain),Grams,0,0,2670,7593.46,2670,7593.46
7/12/2021,Raw Pre-Rolls,Grams,0,0,7403.2,84175.64,7403.2,84175.64
10/5/2022,Concentrate (Bulk),Grams,0,0,1,72.86,1,72.86
7/12/2021,Shake/Trim (by strain),Grams,0,0,1902.15,9746.27,1902.15,9746.27
12/22/2019,Infused (edible),Each,3129,86535.85,0,0,3129,86535.85
9/1/2020,Concentrate (Each),Each,1740,64877.27,0,0,1740,64877.27
6/2/2019,Concentrate,Each,1,51,0,0,1,51
6/28/2019,Buds,Grams,0,0,31331.7,308298.04,31331.7,308298.04
7/26/2023,Shake/Trim,Grams,0,0,561,1486.27,561,1486.27
9/18/2019,Buds,Each,27,260,0,0,27,260
10/19/2019,Raw Pre-Rolls,Grams,0,0,5453.76,61605.41,5453.76,61605.41
2/17/2021,Concentrate,Grams,0,0,221.77,11510.98,221.77,11510.98
1/5/2022,Infused Beverage,Each,655,6179.82,0,0,655,6179.82
7/3/2020,Shake/Trim,Grams,0,0,11,98.8,11,98.8
2/1/2022,Buds,Grams,0,0,39860.55,367287.46,39860.55,367287.46
6/19/2022,Vape Product,Each,2375,89814.34,0,0,2375,89814.34
1/25/2020,Infused Pre-Rolls,Grams,0,0,89,1500.29,89,1500.29
9/14/2021,Infused (edible),Each,4010,101541.52,0,0,4010,101541.52
1/27/2019,Buds,Each,86,1504.2,0,0,86,1504.2
5/22/2019,Infused Pre-Rolls,Grams,0,0,61,543.04,61,543.04
6/27/2019,Concentrate (Each),Each,3105,148843.61,0,0,3105,148843.61
10/4/2020,Concentrate,Grams,0,0,141.25,8656.47,141.25,8656.47
11/14/2022,Raw Pre-Rolls,Grams,0,0,7349.75,64561.86,7349.75,64561.86
4/18/2023,Concentrate,Grams,0,0,43,1369.82,43,1369.82
2/27/2021,Infused (non-edible),Each,283,8256.65,0,0,283,8256.65
9/11/2022,Infused (edible),Each,3467,72121.59,0,0,3467,72121.59
2/13/2022,Shake/Trim (by strain),Grams,0,0,1105,6036.61,1105,6036.61
12/28/2019,Concentrate (Each),Each,1304,53014.62,0,0,1304,53014.62
5/12/2019,Concentrate,Each,3,67.5,0,0,3,67.5
1/17/2022,Kief,Grams,0,0,29,580.24,29,580.24
7/13/2019,Kief,Grams,0,0,42,718.5,42,718.5
2/10/2020,Infused Pre-Rolls,Grams,0,0,117.25,2467.58,117.25,2467.58
4/21/2022,Infused Beverage,Each,890,6828.44,0,0,890,6828.44
2/3/2021,Infused (non-edible),Each,178,5066.81,0,0,178,5066.81
4/26/2022,Buds,Grams,0,0,28718.48,257581.73,28718.48,257581.73
9/29/2020,Infused Pre-Rolls,Grams,0,0,292.25,5982.86,292.25,5982.86
4/3/2019,Buds,Grams,0,0,5286.27,54614.14,5286.27,54614.14
10/25/2021,Infused (non-edible),Each,128,3986.5,0,0,128,3986.5
9/24/2021,Concentrate,Milligrams,0,0,1900,280.62,1900,280.62
9/1/2023,Concentrate,Grams,0,0,74.5,2371.45,74.5,2371.45
3/17/2020,Concentrate (Each),Each,1705,74805.34,0,0,1705,74805.34
11/6/2020,Shake/Trim (by strain),Grams,0,0,973,9052.68,973,9052.68
11/13/2021,Vape Product,Each,3308,140052.73,0,0,3308,140052.73
10/31/2020,Shake/Trim,Grams,0,0,7,180,7,180
11/2/2021,Infused (non-edible),Each,171,5195.43,0,0,171,5195.43
5/25/2021,Shake/Trim (by strain),Grams,0,0,1552.5,8380.19,1552.5,8380.19
4/20/2022,Concentrate (Bulk),Grams,0,0,6,330.15,6,330.15
12/24/2022,Concentrate (Bulk),Grams,0,0,7.5,232.75,7.5,232.75
4/11/2022,Kief,Grams,0,0,33.5,671.24,33.5,671.24
4/18/2023,Buds,Grams,0,0,45092.44,270662.56,45092.44,270662.56
5/4/2022,Infused (non-edible),Each,138,3516.44,0,0,138,3516.44
6/10/2019,Raw Pre-Rolls,Each,17,544.95,0,0,26.5,544.95
1/25/2021,Kief,Grams,0,0,38,809.51,38,809.51
6/9/2020,Buds,Grams,0,0,32096.85,354747.94,32096.85,354747.94
2/20/2023,Infused Beverage,Each,716,5967.62,0,0,716,5967.62
