SALE_PERIOD,TOTAL_$,PRODUCT_CATEGORY,UNIT_OF_MEASURE,TOTAL_UNITS,CCC Last Updated,CountBasedTotal,DollarCountBasedTotal,DollarWeightBasedTotal,Quantity,WeightBasedTotal
2023-04-22,25,Infused (non-edible),Each,1,4/24/2023,,25,0,1,0
2023-04-23,2951.24,Raw Pre-Rolls,Grams,182,4/24/2023,,0,2951.24,307.4,307.4
2018-11-20 -2023-04-16,130854.94,Infused Pre-Rolls,Grams,4209,4/24/2023,0,0,130854.94,4506.43,4506.43
2023-04-18,1415,Concentrate (Each),Each,49,4/24/2023,,1415,0,60,0
2023-04-20,131.25,Infused (non-edible),Each,4,4/24/2023,,131.25,0,4,0
2023-04-20,27566.27,Infused (edible),Each,1254,4/24/2023,,27566.27,0,1618,0
2023-04-20,747.8,Infused Pre-Rolls,Grams,19,4/24/2023,,0,747.8,41.5,41.5
2023-04-18,915.4,Infused (edible),Each,45,4/24/2023,,915.4,0,63,0
2023-04-18,605,Concentrate (Each),Each,10,4/24/2023,,605,0,11,0
2023-04-21,82.5,Infused (non-edible),Each,2,4/24/2023,,82.5,0,2,0
2023-04-20,831.25,Concentrate (Each),Each,18,4/24/2023,,831.25,0,17,0
2023-04-20,828,Concentrate (Each),Each,15,4/24/2023,,828,0,13,0
2023-04-19,3154.11,Buds,Grams,83,4/24/2023,,0,3154.11,322,322
2023-04-21,2728,Raw Pre-Rolls,Grams,150,4/24/2023,,0,2728,226.25,226.25
2023-04-19,29.95,Kief,Grams,1,4/24/2023,,0,29.95,1,1
2023-04-21,702.06,Buds,Grams,13,4/24/2023,,0,702.06,57.5,57.5
2023-04-23,1100.1,Raw Pre-Rolls,Grams,62,4/24/2023,,0,1100.1,87.5,87.5
2023-04-20,1835.42,Infused Pre-Rolls,Grams,123,4/24/2023,,0,1835.42,135,135
2023-04-17,426.93,Infused (edible),Each,15,4/24/2023,,426.93,0,18,0
2023-04-19,4060.54,Raw Pre-Rolls,Grams,220,4/24/2023,,0,4060.54,410.5,410.5
2023-04-23,32.5,Infused Beverage,Each,4,4/24/2023,,32.5,0,5,0
2023-04-19,594,Raw Pre-Rolls,Grams,26,4/24/2023,,0,594,43.5,43.5
2023-04-20,3154.4,Concentrate (Each),Each,73,4/24/2023,,3154.4,0,111,0
2023-04-20,5936.01,Buds,Grams,158,4/24/2023,,0,5936.01,1833.5,1833.5
2023-04-19,150,Concentrate (Each),Each,4,4/24/2023,,150,0,4,0
2023-04-21,359,Concentrate (Each),Each,7,4/24/2023,,359,0,8,0
2018-11-20 -2023-04-16,6934.24,Infused (non-edible),Each,170,4/24/2023,167,6934.24,0,191,0
2018-11-20 -2023-04-16,2900688.69,Buds,Grams,57626,4/24/2023,0,0,2900688.69,227877,227877
2023-04-23,168,Concentrate,Grams,4,4/24/2023,,0,168,4,4
2023-04-17,53.5,Infused Beverage,Each,8,4/24/2023,,53.5,0,10,0
2023-04-20,9341.25,Raw Pre-Rolls,Grams,1570,4/24/2023,,0,9341.25,2156.65,2156.65
2018-11-20 -2023-04-16,9111087.63,Vape Product,Each,169171,4/24/2023,181713,9111087.63,0,197094,0
2023-04-20,2200,Infused Pre-Rolls,Grams,82,4/24/2023,,0,2200,99.9,99.9
2023-04-21,487,Concentrate (Each),Each,9,4/24/2023,,487,0,9,0
2023-04-21,45,Infused (non-edible),Each,1,4/24/2023,,45,0,1,0
2023-04-17,988.02,Vape Product,Each,22,4/24/2023,,988.02,0,23,0
2018-11-20 -2023-04-16,63345.74,Concentrate (Each),Each,1359,4/24/2023,1065,63345.74,0,1530,0
2023-04-18,149.95,Concentrate (Each),Each,5,4/24/2023,,149.95,0,5,0
2023-04-18,2290.01,Vape Product,Each,54,4/24/2023,,2290.01,0,58,0
2023-04-22,855,Buds,Grams,28,4/24/2023,,0,855,105,105
2023-04-23,250,Infused Pre-Rolls,Grams,6,4/24/2023,,0,250,11.8,11.8
2023-04-23,790,Shake/Trim,Grams,16,4/24/2023,,0,790,168,168
2023-04-19,2634.49,Shake/Trim,Grams,51,4/24/2023,,0,2634.49,834,834
2018-11-20 -2023-04-16,128851.75,Infused (non-edible),Each,2815,4/24/2023,3217,128851.75,0,3302,0
2023-04-22,250.5,Infused Pre-Rolls,Grams,5,4/24/2023,,0,250.5,14.6,14.6
2023-04-17,1394.5,Infused (edible),Each,48,4/24/2023,,1394.5,0,66,0
2023-04-21,1664,Vape Product,Each,43,4/24/2023,,1664,0,49,0
2023-04-19,20,Infused Pre-Rolls,Grams,1,4/24/2023,,0,20,0.8,0.8
2023-04-22,114.5,Infused Beverage,Each,8,4/24/2023,,114.5,0,18,0
2023-04-17,30.01,Infused Pre-Rolls,Grams,2,4/24/2023,,0,30.01,1.66,1.66
2023-04-22,1264.75,Vape Product,Each,30,4/24/2023,,1264.75,0,31,0
2018-11-20 -2023-04-16,51225.32,Shake/Trim,Grams,1599,4/24/2023,0,0,51225.32,11739,11739
2023-04-20,18.5,Kief,Grams,1,4/24/2023,,0,18.5,1,1
2018-11-20 -2023-04-16,11909,Shake/Trim,Grams,255,4/24/2023,0,0,11909,1876,1876
2023-04-19,1913.55,Buds,Grams,67,4/24/2023,,0,1913.55,261,261
2023-04-20,216.89,Infused Pre-Rolls,Grams,9,4/24/2023,,0,216.89,10,10
2023-04-21,12,Infused Pre-Rolls,Grams,1,4/24/2023,,0,12,1,1
2023-04-22,10776.56,Buds,Grams,297,4/24/2023,,0,10776.56,1708,1708
2023-04-18,2445.2,Raw Pre-Rolls,Grams,108,4/24/2023,,0,2445.2,188,188
2023-04-22,1315.67,Infused (edible),Each,77,4/24/2023,,1315.67,0,93,0
2023-04-17,520,Shake/Trim,Grams,4,4/24/2023,,0,520,112,112
2023-04-22,25,Infused Beverage,Each,3,4/24/2023,,25,0,5,0
2023-04-22,493,Raw Pre-Rolls,Grams,30,4/24/2023,,0,493,40,40
2023-04-17,4000.61,Buds,Grams,108,4/24/2023,,0,4000.61,511,511
2023-04-20,3400,Vape Product,Each,81,4/24/2023,,3400,0,126,0
2023-04-20,549.17,Raw Pre-Rolls,Grams,18,4/24/2023,,0,549.17,40.5,40.5
2023-04-23,1355,Vape Product,Each,28,4/24/2023,,1355,0,31,0
2023-04-17,470,Infused Pre-Rolls,Grams,15,4/24/2023,,0,470,23.3,23.3
2023-04-20,112.81,Infused (non-edible),Each,4,4/24/2023,,112.81,0,7,0
2023-04-22,220,Concentrate,Grams,4,4/24/2023,,0,220,6.5,6.5
2023-04-20,2308,Concentrate (Each),Each,39,4/24/2023,,2308,0,41,0
2018-11-20 -2023-04-16,1060437.89,Raw Pre-Rolls,Grams,79155,4/24/2023,0,0,1060437.89,102777.45,102777.45
2018-11-20 -2023-04-16,33162.99,Concentrate,Grams,597,4/24/2023,0,0,33162.99,974.5,974.5
2023-04-23,92,Concentrate (Each),Each,5,4/24/2023,,92,0,5,0
2023-04-18,1055,Concentrate (Each),Each,19,4/24/2023,,1055,0,25,0
2023-04-22,784,Raw Pre-Rolls,Grams,56,4/24/2023,,0,784,95.5,95.5
2023-04-19,842.14,Infused (edible),Each,40,4/24/2023,,842.14,0,55,0
2023-04-18,483.86,Raw Pre-Rolls,Grams,44,4/24/2023,,0,483.86,83,83
2023-04-23,2937.75,Infused (edible),Each,125,4/24/2023,,2937.75,0,163,0
2023-04-17,12,Infused Beverage,Each,2,4/24/2023,,12,0,2,0
2018-11-20 -2023-04-16,19626.43,Infused (non-edible),Each,372,4/24/2023,393,19626.43,0,397,0
2023-04-18,4799.8,Buds,Grams,92,4/24/2023,,0,4799.8,759.5,759.5
2018-11-20 -2023-04-16,871118.49,Infused (edible),Each,33098,4/24/2023,36934,871118.49,0,40600,0
2018-11-20 -2023-04-16,49042.95,Shake/Trim,Grams,990,4/24/2023,0,0,49042.95,7934,7934
2023-04-18,4025.5,Concentrate (Each),Each,58,4/24/2023,,4025.5,0,101,0
2023-04-17,738.3,Raw Pre-Rolls,Grams,53,4/24/2023,,0,738.3,76.25,76.25
2023-04-19,3996,Vape Product,Each,181,4/24/2023,,3996,0,206,0
2023-04-18,2215.6,Raw Pre-Rolls,Grams,180,4/24/2023,,0,2215.6,270.75,270.75
2023-04-23,276,Concentrate (Each),Each,4,4/24/2023,,276,0,6,0
2023-04-17,212,Infused Pre-Rolls,Grams,11,4/24/2023,,0,212,11,11
2023-04-18,257,Raw Pre-Rolls,Grams,20,4/24/2023,,0,257,20,20
2023-04-18,195,Infused Pre-Rolls,Grams,9,4/24/2023,,0,195,9.25,9.25
2023-04-23,250,Infused Pre-Rolls,Grams,7,4/24/2023,,0,250,10,10
2018-11-20 -2023-04-16,11614.52,Kief,Grams,401,4/24/2023,0,0,11614.52,432,432
2018-11-20 -2023-04-16,4360678.97,Raw Pre-Rolls,Grams,228179,4/24/2023,0,0,4360678.97,297452.2,297452.2
2023-04-20,25882.63,Buds,Grams,668,4/24/2023,,0,25882.63,7380.5,7380.5
2023-04-21,40,Infused Beverage,Each,3,4/24/2023,,40,0,8,0
2023-04-18,20,Infused (non-edible),Each,1,4/24/2023,,20,0,1,0
2023-04-22,380.7,Buds,Grams,13,4/24/2023,,0,380.7,42.5,42.5
2023-04-19,8589.81,Buds,Grams,173,4/24/2023,,0,8589.81,1296,1296
2023-04-22,24,Infused (non-edible),Each,1,4/24/2023,,24,0,1,0
2023-04-19,113.48,Infused (non-edible),Each,4,4/24/2023,,113.48,0,4,0
2018-11-20 -2023-04-16,837280.38,Raw Pre-Rolls,Grams,35948,4/24/2023,0,0,837280.38,55892,55892
2023-04-21,2929,Vape Product,Each,70,4/24/2023,,2929,0,79,0
2023-04-21,599.31,Raw Pre-Rolls,Grams,46,4/24/2023,,0,599.31,55,55
2023-04-18,334,Concentrate (Each),Each,9,4/24/2023,,334,0,9,0
2023-04-17,130,Concentrate (Each),Each,2,4/24/2023,,130,0,2,0
2023-04-21,90,Kief,Grams,3,4/24/2023,,0,90,4,4
2023-04-18,8915.06,Vape Product,Each,253,4/24/2023,,8915.06,0,271,0
2023-04-23,1062,Shake/Trim,Grams,24,4/24/2023,,0,1062,266,266
2023-04-19,3911.36,Concentrate (Each),Each,133,4/24/2023,,3911.36,0,179,0
2023-04-21,2078.76,Concentrate (Each),Each,53,4/24/2023,,2078.76,0,59,0
2023-04-21,2280.55,Infused Pre-Rolls,Grams,80,4/24/2023,,0,2280.55,125,125
2018-11-20 -2023-04-16,4779673.08,Infused (edible),Each,152557,4/24/2023,192290,4779673.08,0,198589,0
2023-04-18,1594,Buds,Grams,28,4/24/2023,,0,1594,172,172
2023-04-22,6405.28,Buds,Grams,122,4/24/2023,,0,6405.28,595,595
2023-04-18,1598,Infused (edible),Each,52,4/24/2023,,1598,0,94,0
2023-04-21,450,Shake/Trim,Grams,17,4/24/2023,,0,450,126,126
2023-04-19,80,Concentrate,Grams,2,4/24/2023,,0,80,2,2
2023-04-18,55.36,Infused Beverage,Each,3,4/24/2023,,55.36,0,10,0
2023-04-18,5.04,Infused Beverage,Each,3,4/24/2023,,5.04,0,5,0
2023-04-20,189,Infused (non-edible),Each,3,4/24/2023,,189,0,3,0
2023-04-22,1600.8,Raw Pre-Rolls,Grams,105,4/24/2023,,0,1600.8,157,157
2023-04-18,3810.48,Buds,Grams,96,4/24/2023,,0,3810.48,650.5,650.5
2023-04-20,18526.05,Buds,Grams,436,4/24/2023,,0,18526.05,2193.5,2193.5
2023-04-20,30,Kief,Grams,1,4/24/2023,,0,30,1,1
2023-04-20,11082.21,Raw Pre-Rolls,Grams,833,4/24/2023,,0,11082.21,1679,1679
2023-04-20,1477,Vape Product,Each,33,4/24/2023,,1477,0,33,0
2023-04-20,3988.65,Vape Product,Each,135,4/24/2023,,3988.65,0,148,0
2023-04-20,8853.63,Infused (edible),Each,457,4/24/2023,,8853.63,0,552,0
2023-04-18,45,Infused Beverage,Each,7,4/24/2023,,45,0,7,0
2018-11-20 -2023-04-16,239827.77,Infused Beverage,Each,19263,4/24/2023,39648,239827.77,0,41548,0
2018-11-20 -2023-04-16,12897.11,Infused Beverage,Each,1311,4/24/2023,2244,12897.11,0,2470,0
2023-04-18,2565,Immature Plants,Each,32,4/24/2023,,2565,0,52,0
2023-04-21,11717.41,Buds,Grams,288,4/24/2023,,0,11717.41,1581.5,1581.5
2023-04-23,28,Infused Beverage,Each,1,4/24/2023,,28,0,1,0
2023-04-23,1151.55,Vape Product,Each,31,4/24/2023,,1151.55,0,32,0
2023-04-18,1098.95,Infused Pre-Rolls,Grams,73,4/24/2023,,0,1098.95,20.92,20.92
2023-04-22,3652.91,Vape Product,Each,136,4/24/2023,,3652.91,0,141,0
2023-04-19,74,Infused Beverage,Each,8,4/24/2023,,74,0,11,0
2018-11-20 -2023-04-16,6790808.48,Buds,Grams,94980,4/24/2023,0,0,6790808.48,412738.4,412738.4
2023-04-18,105,Shake/Trim,Grams,3,4/24/2023,,0,105,21,21
2018-11-20 -2023-04-16,43443.9,Infused Beverage,Each,2708,4/24/2023,6169,43443.9,0,6670,0
2023-04-17,2079,Vape Product,Each,47,4/24/2023,,2079,0,53,0
2023-04-18,1990,Vape Product,Each,50,4/24/2023,,1990,0,55,0
2023-04-23,75.5,Infused (edible),Each,4,4/24/2023,,75.5,0,4,0
2023-04-22,107,Infused (non-edible),Each,3,4/24/2023,,107,0,3,0
2023-04-18,491.77,Infused (edible),Each,68,4/24/2023,,491.77,0,109,0
2023-04-22,1059.1,Raw Pre-Rolls,Grams,62,4/24/2023,,0,1059.1,148.5,148.5
2023-04-23,130.75,Infused (non-edible),Each,4,4/24/2023,,130.75,0,5,0
2023-04-18,1080,Shake/Trim,Grams,17,4/24/2023,,0,1080,196,196
2023-04-21,968.3,Buds,Grams,24,4/24/2023,,0,968.3,141.5,141.5
2023-04-23,1039.01,Infused (edible),Each,50,4/24/2023,,1039.01,0,64,0
2023-04-23,1670,Vape Product,Each,45,4/24/2023,,1670,0,49,0
2023-04-23,1686,Vape Product,Each,33,4/24/2023,,1686,0,34,0
2023-04-21,14,Infused Beverage,Each,2,4/24/2023,,14,0,2,0
2023-04-17,430,Concentrate (Each),Each,9,4/24/2023,,430,0,12,0
2023-04-21,527.51,Infused Pre-Rolls,Grams,18,4/24/2023,,0,527.51,29,29
2023-04-18,260,Infused Pre-Rolls,Grams,9,4/24/2023,,0,260,17,17
2018-11-20 -2023-04-16,3611129.82,Raw Pre-Rolls,Grams,159690,4/24/2023,0,0,3611129.82,260972.71,260972.71
2023-04-18,960.02,Infused (edible),Each,40,4/24/2023,,960.02,0,59,0
2023-04-19,15,Kief,Grams,1,4/24/2023,,0,15,1,1
2023-04-19,1314.5,Vape Product,Each,28,4/24/2023,,1314.5,0,30,0
2023-04-19,11767.24,Vape Product,Each,249,4/24/2023,,11767.24,0,294,0
2023-04-23,20.97,Infused Beverage,Each,3,4/24/2023,,20.97,0,3,0
2023-04-19,3787.06,Vape Product,Each,102,4/24/2023,,3787.06,0,114,0
2018-11-20 -2023-04-16,2000,Shake/Trim,Grams,19,4/24/2023,0,0,2000,280,280
2018-11-20 -2023-04-16,547325.53,Concentrate (Each),Each,13324,4/24/2023,13590,547325.53,0,14843,0
2023-04-21,4574.6,Buds,Grams,103,4/24/2023,,0,4574.6,661.5,661.5
2023-04-22,1113.4,Infused (edible),Each,45,4/24/2023,,1113.4,0,54,0
2018-11-20 -2023-04-16,22045.26,Infused (non-edible),Each,485,4/24/2023,528,22045.26,0,548,0
2023-04-22,80,Concentrate (Each),Each,1,4/24/2023,,80,0,1,0
2023-04-19,5422.64,Buds,Grams,142,4/24/2023,,0,5422.64,798,798
2023-04-18,2947.9,Raw Pre-Rolls,Grams,194,4/24/2023,,0,2947.9,283.5,283.5
2023-04-18,2136.65,Vape Product,Each,71,4/24/2023,,2136.65,0,79,0
2023-04-17,760.81,Infused (edible),Each,26,4/24/2023,,760.81,0,32,0
2023-04-17,1531.94,Concentrate (Each),Each,35,4/24/2023,,1531.94,0,36,0
2023-04-20,3524.6,Raw Pre-Rolls,Grams,167,4/24/2023,,0,3524.6,305.45,305.45
2023-04-17,107,Infused Beverage,Each,9,4/24/2023,,107,0,18,0
2023-04-23,584.8,Raw Pre-Rolls,Grams,43,4/24/2023,,0,584.8,58.5,58.5
2023-04-21,535,Concentrate (Each),Each,8,4/24/2023,,535,0,11,0
2023-04-18,1572.5,Concentrate (Each),Each,47,4/24/2023,,1572.5,0,51,0
2023-04-17,155,Concentrate (Each),Each,3,4/24/2023,,155,0,3,0
2023-04-23,45,Shake/Trim,Grams,1,4/24/2023,,0,45,7,7
2018-11-20 -2023-04-16,833.2,Kief,Grams,50,4/24/2023,0,0,833.2,55,55
2023-04-20,28.32,Infused (non-edible),Each,1,4/24/2023,,28.32,0,1,0
2018-11-20 -2023-04-16,81725.58,Infused Beverage,Each,4208,4/24/2023,5449,81725.58,0,6159,0
2023-04-21,1785,Concentrate (Each),Each,35,4/24/2023,,1785,0,43,0
2023-04-18,2150.5,Infused (edible),Each,59,4/24/2023,,2150.5,0,74,0
2023-04-19,63,Concentrate (Each),Each,1,4/24/2023,,63,0,1,0
2023-04-21,236.08,Buds,Grams,6,4/24/2023,,0,236.08,31.5,31.5
2023-04-21,41.94,Infused Beverage,Each,4,4/24/2023,,41.94,0,6,0
2023-04-19,168,Infused (non-edible),Each,1,4/24/2023,,168,0,4,0
2023-04-21,9416.03,Buds,Grams,212,4/24/2023,,0,9416.03,1424,1424
2023-04-22,2137.31,Raw Pre-Rolls,Grams,195,4/24/2023,,0,2137.31,265.5,265.5
2023-04-23,95,Infused Pre-Rolls,Grams,4,4/24/2023,,0,95,4.35,4.35
2023-04-21,939.2,Vape Product,Each,24,4/24/2023,,939.2,0,26,0
2023-04-21,16,Kief,Grams,1,4/24/2023,,0,16,1,1
2023-04-19,168.82,Infused Beverage,Each,16,4/24/2023,,168.82,0,27,0
2023-04-19,27.8,Infused Beverage,Each,2,4/24/2023,,27.8,0,3,0
2023-04-19,297.03,Vape Product,Each,11,4/24/2023,,297.03,0,12,0
2023-04-18,543.5,Infused Beverage,Each,31,4/24/2023,,543.5,0,40,0
2023-04-19,2091,Raw Pre-Rolls,Grams,245,4/24/2023,,0,2091,210.4,210.4
2023-04-17,2814,Raw Pre-Rolls,Grams,213,4/24/2023,,0,2814,323.1,323.1
2023-04-19,330,Concentrate (Each),Each,5,4/24/2023,,330,0,7,0
2023-04-17,3961.34,Buds,Grams,97,4/24/2023,,0,3961.34,406,406
2023-04-17,59,Infused Beverage,Each,6,4/24/2023,,59,0,9,0
2023-04-18,530,Concentrate (Each),Each,9,4/24/2023,,530,0,11,0
2023-04-19,427.25,Infused (edible),Each,18,4/24/2023,,427.25,0,22,0
2023-04-22,625.41,Concentrate (Each),Each,22,4/24/2023,,625.41,0,53,0
2018-11-20 -2023-04-16,10387,Kief,Grams,322,4/24/2023,0,0,10387,348.12,348.12
2023-04-20,2602.6,Raw Pre-Rolls,Grams,134,4/24/2023,,0,2602.6,444.5,444.5
2023-04-20,1417,Infused (edible),Each,58,4/24/2023,,1417,0,65,0
2023-04-20,667,Concentrate (Each),Each,12,4/24/2023,,667,0,13,0
2023-04-18,299,Infused Beverage,Each,17,4/24/2023,,299,0,41,0
2023-04-20,1198.8,Buds,Grams,55,4/24/2023,,0,1198.8,245,245
2023-04-21,84,Infused (edible),Each,4,4/24/2023,,84,0,4,0
2023-04-21,2288.5,Vape Product,Each,49,4/24/2023,,2288.5,0,51,0
2023-04-21,910.54,Infused (edible),Each,51,4/24/2023,,910.54,0,60,0
2018-11-20 -2023-04-16,47452.35,Infused Pre-Rolls,Grams,1640,4/24/2023,0,0,47452.35,1711.05,1711.05
2023-04-22,6743.5,Buds,Grams,141,4/24/2023,,0,6743.5,1035.5,1035.5
2018-11-20 -2023-04-16,618138.67,Concentrate (Each),Each,11807,4/24/2023,11950,618138.67,0,12737,0
2023-04-19,647,Concentrate (Each),Each,18,4/24/2023,,647,0,18,0
2023-04-20,2430,Concentrate (Each),Each,47,4/24/2023,,2430,0,51,0
2018-11-20 -2023-04-16,487.6,Concentrate,Grams,35,4/24/2023,0,0,487.6,17.5,17.5
2018-11-20 -2023-04-16,30037.04,Infused (non-edible),Each,855,4/24/2023,924,30037.04,0,961,0
2018-11-20 -2023-04-16,117475.18,Vape Product,Each,2813,4/24/2023,1133,117475.18,0,2974,0
2023-04-22,1495,Concentrate (Each),Each,26,4/24/2023,,1495,0,32,0
2023-04-18,80,Shake/Trim (by strain),Grams,1,4/24/2023,,0,80,14,14
2023-04-18,2335.47,Raw Pre-Rolls,Grams,272,4/24/2023,,0,2335.47,301.2,301.2
2018-11-20 -2023-04-16,230934.39,Infused (non-edible),Each,5327,4/24/2023,5680,230934.39,0,5873,0
2023-04-17,385.3,Raw Pre-Rolls,Grams,28,4/24/2023,,0,385.3,35.8,35.8
2023-04-21,880,Shake/Trim (by strain),Grams,14,4/24/2023,,0,880,168,168
2018-11-20 -2023-04-16,350718.63,Infused Beverage,Each,21825,4/24/2023,31680,350718.63,0,33527,0
2023-04-23,2831.95,Buds,Grams,58,4/24/2023,,0,2831.95,353,353
2023-04-19,6804.76,Buds,Grams,185,4/24/2023,,0,6804.76,861,861
2018-11-20 -2023-04-16,3856.15,Concentrate (Bulk),Grams,67,4/24/2023,0,0,3856.15,96,96
2018-11-20 -2023-04-16,486,Buds,Ounces,9,4/24/2023,0,0,486,1.17,1.17
2023-04-20,698.7,Infused Pre-Rolls,Grams,26,4/24/2023,,0,698.7,34.6,34.6
2023-04-19,3131,Buds,Grams,88,4/24/2023,,0,3131,425,425
2023-04-22,2137.75,Concentrate (Each),Each,66,4/24/2023,,2137.75,0,89,0
2023-04-19,7873,Buds,Grams,226,4/24/2023,,0,7873,990.5,990.5
2018-11-20 -2023-04-16,53107.41,Infused Pre-Rolls,Grams,2457,4/24/2023,0,0,53107.41,4454.08,4454.08
2023-04-21,46.6,Infused Beverage,Each,3,4/24/2023,,46.6,0,6,0
2023-04-21,204,Shake/Trim (by strain),Grams,4,4/24/2023,,0,204,49,49
2023-04-21,1247.57,Raw Pre-Rolls,Grams,117,4/24/2023,,0,1247.57,131,131
2023-04-22,3515.55,Vape Product,Each,70,4/24/2023,,3515.55,0,88,0
2018-11-20 -2023-04-16,3765673.21,Raw Pre-Rolls,Grams,177813,4/24/2023,0,0,3765673.21,258950.6,258950.6
2018-11-20 -2023-04-16,102628.85,Vape Product,Each,2068,4/24/2023,2334,102628.85,0,2334,0
2023-04-22,5638,Buds,Grams,131,4/24/2023,,0,5638,633.5,633.5
2023-04-22,3912.6,Infused (edible),Each,148,4/24/2023,,3912.6,0,198,0
2023-04-23,1523.3,Vape Product,Each,40,4/24/2023,,1523.3,0,48,0
2023-04-20,125,Shake/Trim,Grams,2,4/24/2023,,0,125,35,35
2023-04-20,260,Vape Product,Each,7,4/24/2023,,260,0,7,0
2023-04-23,425,Infused (edible),Each,17,4/24/2023,,425,0,19,0
2023-04-18,732.54,Infused (edible),Each,32,4/24/2023,,732.54,0,34,0
2023-04-20,310,Shake/Trim (by strain),Grams,12,4/24/2023,,0,310,98,98
2018-11-20 -2023-04-16,9417.5,Kief,Grams,295,4/24/2023,0,0,9417.5,320,320
2023-04-19,168,Infused Beverage,Each,14,4/24/2023,,168,0,20,0
2023-04-22,185,Infused Pre-Rolls,Grams,4,4/24/2023,,0,185,9.5,9.5
2023-04-20,520,Infused Pre-Rolls,Grams,16,4/24/2023,,0,520,28,28
2023-04-17,2479.67,Infused (edible),Each,81,4/24/2023,,2479.67,0,102,0
2023-04-20,875,Shake/Trim,Grams,14,4/24/2023,,0,875,266,266
2023-04-18,3471,Vape Product,Each,77,4/24/2023,,3471,0,98,0
2023-04-17,5682.34,Buds,Grams,193,4/24/2023,,0,5682.34,1148.6,1148.6
2023-04-22,307,Infused Pre-Rolls,Grams,5,4/24/2023,,0,307,15.58,15.58
2023-04-19,464.79,Infused Pre-Rolls,Grams,19,4/24/2023,,0,464.79,19.55,19.55
2023-04-18,560,Concentrate,Grams,7,4/24/2023,,0,560,14.5,14.5
2023-04-20,3604.68,Infused (edible),Each,222,4/24/2023,,3604.68,0,247,0
2023-04-23,360,Infused Pre-Rolls,Grams,15,4/24/2023,,0,360,18.4,18.4
2023-04-21,13325.34,Buds,Grams,406,4/24/2023,,0,13325.34,2852,2852
2023-04-23,4051.99,Buds,Grams,106,4/24/2023,,0,4051.99,508.71,508.71
2023-04-23,1691,Infused (edible),Each,62,4/24/2023,,1691,0,74,0
2023-04-20,1577.03,Vape Product,Each,53,4/24/2023,,1577.03,0,59,0
2023-04-17,20,Kief,Grams,1,4/24/2023,,0,20,0.1,0.1
2023-04-20,19454.62,Raw Pre-Rolls,Grams,1298,4/24/2023,,0,19454.62,3236,3236
2023-04-23,79,Infused Beverage,Each,5,4/24/2023,,79,0,12,0
2023-04-22,3223.44,Concentrate (Each),Each,53,4/24/2023,,3223.44,0,62,0
2018-11-20 -2023-04-16,18874.5,Infused Beverage,Each,1925,4/24/2023,3667,18874.5,0,4123,0
2023-04-18,25,Infused Pre-Rolls,Grams,1,4/24/2023,,0,25,1,1
2023-04-23,60,Concentrate (Bulk),Grams,2,4/24/2023,,0,60,2,2
2023-04-20,6402.4,Infused (edible),Each,284,4/24/2023,,6402.4,0,335,0
2023-04-19,48,Infused Beverage,Each,4,4/24/2023,,48,0,12,0
2023-04-22,4848.75,Concentrate (Each),Each,130,4/24/2023,,4848.75,0,175,0
2018-11-20 -2023-04-16,172961.86,Buds,Grams,3794,4/24/2023,0,0,172961.86,24452.25,24452.25
2023-04-21,41241.69,Buds,Grams,1662,4/24/2023,,0,41241.69,6658.09,6658.09
2023-04-23,6312,Shake/Trim,Grams,170,4/24/2023,,0,6312,2492,2492
2023-04-19,2345,Buds,Grams,53,4/24/2023,,0,2345,252,252
2023-04-23,7991.4,Buds,Grams,215,4/24/2023,,0,7991.4,1134,1134
2023-04-21,5563.3,Infused (edible),Each,204,4/24/2023,,5563.3,0,264,0
2023-04-18,6002.16,Raw Pre-Rolls,Grams,308,4/24/2023,,0,6002.16,461.95,461.95
2023-04-22,700.5,Concentrate,Grams,18,4/24/2023,,0,700.5,19,19
2023-04-23,9080.31,Vape Product,Each,201,4/24/2023,,9080.31,0,214,0
2023-04-17,3050.54,Buds,Grams,148,4/24/2023,,0,3050.54,415.5,415.5
2023-04-17,1162.01,Raw Pre-Rolls,Grams,136,4/24/2023,,0,1162.01,191.5,191.5
2023-04-17,60,Infused Pre-Rolls,Grams,3,4/24/2023,,0,60,1.8,1.8
2023-04-22,293.75,Infused Pre-Rolls,Grams,11,4/24/2023,,0,293.75,12,12
2023-04-22,6198.8,Buds,Grams,182,4/24/2023,,0,6198.8,962.5,962.5
2023-04-19,741.2,Vape Product,Each,27,4/24/2023,,741.2,0,30,0
2023-04-22,8350.3,Buds,Grams,168,4/24/2023,,0,8350.3,913,913
2023-04-19,3910,Infused (edible),Each,107,4/24/2023,,3910,0,153,0
2023-04-20,5602.9,Buds,Grams,176,4/24/2023,,0,5602.9,732,732
2023-04-18,699,Concentrate (Each),Each,15,4/24/2023,,699,0,15,0
2023-04-17,807.28,Infused (edible),Each,66,4/24/2023,,807.28,0,78,0
2018-11-20 -2023-04-16,423102.88,Concentrate,Grams,5864,4/24/2023,0,0,423102.88,6164,6164
2018-11-20 -2023-04-16,4905701.2,Buds,Grams,117718,4/24/2023,0,0,4905701.2,481751.65,481751.65
2018-11-20 -2023-04-16,74807.2,Infused Pre-Rolls,Grams,3108,4/24/2023,0,0,74807.2,4170.16,4170.16
2023-04-19,47,Infused Pre-Rolls,Grams,2,4/24/2023,,0,47,1.15,1.15
2023-04-22,55,Infused (non-edible),Each,2,4/24/2023,,55,0,2,0
