SALE_PERIOD,TOTAL_$,PRODUCT_CATEGORY,UNIT_OF_MEASURE,TOTAL_UNITS,CCC Last Updated,CountBasedTotal,DollarCountBasedTotal,DollarWeightBasedTotal,Quantity,WeightBasedTotal
2023-04-22,480,Infused Pre-Rolls,Grams,14,4/24/2023,,0,480,17.1,17.1
2023-04-21,6041.37,Raw Pre-Rolls,Grams,373,4/24/2023,,0,6041.37,664,664
2023-04-19,108,Infused (non-edible),Each,2,4/24/2023,,108,0,3,0
2023-04-22,2667.83,Vape Product,Each,83,4/24/2023,,2667.83,0,92,0
2018-11-20 -2023-04-16,5249004.05,Vape Product,Each,98353,4/24/2023,98168,5249004.05,0,106317,0
2023-04-21,449,Infused (edible),Each,19,4/24/2023,,449,0,31,0
2023-04-17,491.61,Buds,Grams,12,4/24/2023,,0,491.61,70,70
2018-11-20 -2023-04-16,1170118.83,Infused (edible),Each,50423,4/24/2023,60863,1170118.83,0,65361,0
2023-04-22,5956.06,Buds,Grams,81,4/24/2023,,0,5956.06,708.65,708.65
2023-04-21,250,Vape Product,Each,5,4/24/2023,,250,0,6,0
2018-11-20 -2023-04-16,438305.06,Infused (edible),Each,19039,4/24/2023,20439,438305.06,0,22291,0
2023-04-23,1585,Buds,Grams,29,4/24/2023,,0,1585,192.5,192.5
2023-04-23,705,Concentrate,Grams,10,4/24/2023,,0,705,17.5,17.5
2023-04-23,1658,Infused (edible),Each,51,4/24/2023,,1658,0,66,0
2023-04-21,1567.5,Concentrate (Each),Each,41,4/24/2023,,1567.5,0,45,0
2018-11-20 -2023-04-16,9826.71,Concentrate,Grams,234,4/24/2023,0,0,9826.71,221,221
2023-04-20,4633.22,Vape Product,Each,145,4/24/2023,,4633.22,0,155,0
2023-04-20,101.6,Infused (non-edible),Each,3,4/24/2023,,101.6,0,3,0
2018-11-20 -2023-04-16,10,Raw Pre-Rolls,Kilograms,1,4/24/2023,0,0,10,0,0
2018-11-20 -2023-04-16,87916.73,Infused (non-edible),Each,2050,4/24/2023,2451,87916.73,0,2542,0
2023-04-21,50,Infused (non-edible),Each,1,4/24/2023,,50,0,1,0
2023-04-18,68,Infused Beverage,Each,5,4/24/2023,,68,0,9,0
2018-11-20 -2023-04-16,16935.5,Infused Beverage,Each,1138,4/24/2023,1022,16935.5,0,1461,0
2023-04-23,154.5,Infused Beverage,Each,13,4/24/2023,,154.5,0,17,0
2023-04-19,238.58,Infused Beverage,Each,15,4/24/2023,,238.58,0,19,0
2023-04-21,95.02,Infused (non-edible),Each,4,4/24/2023,,95.02,0,4,0
2023-04-18,14385.54,Buds,Grams,367,4/24/2023,,0,14385.54,2171.5,2171.5
2018-11-20 -2023-04-16,948932.09,Infused (edible),Each,41910,4/24/2023,53823,948932.09,0,57603,0
2023-04-23,211,Infused Beverage,Each,13,4/24/2023,,211,0,18,0
2023-04-17,2048.6,Infused (edible),Each,102,4/24/2023,,2048.6,0,131,0
2023-04-18,60,Infused Pre-Rolls,Grams,2,4/24/2023,,0,60,3,3
2023-04-19,3554.03,Infused (edible),Each,148,4/24/2023,,3554.03,0,185,0
2023-04-21,417,Infused (edible),Each,11,4/24/2023,,417,0,29,0
2023-04-19,50,Infused (non-edible),Each,1,4/24/2023,,50,0,2,0
2023-04-23,6283.67,Buds,Grams,183,4/24/2023,,0,6283.67,967.5,967.5
2023-04-20,4671.01,Vape Product,Each,99,4/24/2023,,4671.01,0,102,0
2023-04-18,50,Infused Pre-Rolls,Grams,2,4/24/2023,,0,50,2.4,2.4
2023-04-21,25,Infused (non-edible),Each,1,4/24/2023,,25,0,1,0
2023-04-21,356.25,Concentrate,Grams,6,4/24/2023,,0,356.25,7.5,7.5
2023-04-23,2728.5,Vape Product,Each,83,4/24/2023,,2728.5,0,90,0
2018-11-20 -2023-04-16,539768.29,Infused (edible),Each,26471,4/24/2023,29707,539768.29,0,33938,0
2023-04-21,3789.25,Buds,Grams,108,4/24/2023,,0,3789.25,508.6,508.6
2023-04-18,1241,Infused (edible),Each,34,4/24/2023,,1241,0,45,0
2023-04-17,450,Shake/Trim (by strain),Grams,13,4/24/2023,,0,450,105,105
2023-04-21,181.5,Infused Beverage,Each,19,4/24/2023,,181.5,0,26,0
2023-04-23,5043.54,Buds,Grams,194,4/24/2023,,0,5043.54,638,638
2023-04-19,35,Infused Pre-Rolls,Grams,1,4/24/2023,,0,35,3.5,3.5
2023-04-20,1006.5,Concentrate (Each),Each,16,4/24/2023,,1006.5,0,18,0
2023-04-21,365,Shake/Trim (by strain),Grams,4,4/24/2023,,0,365,112,112
2023-04-22,267,Concentrate (Each),Each,5,4/24/2023,,267,0,5,0
2023-04-18,30,Kief,Grams,1,4/24/2023,,0,30,1,1
2023-04-21,0.01,Shake/Trim (by strain),Grams,1,4/24/2023,,0,0.01,7,7
2023-04-20,4051.9,Infused (edible),Each,254,4/24/2023,,4051.9,0,380,0
2023-04-21,136,Infused Beverage,Each,6,4/24/2023,,136,0,8,0
2023-04-22,1152,Shake/Trim,Grams,26,4/24/2023,,0,1152,287,287
2023-04-19,317.5,Infused Pre-Rolls,Grams,8,4/24/2023,,0,317.5,13,13
2023-04-17,312.5,Infused Pre-Rolls,Grams,13,4/24/2023,,0,312.5,14,14
2023-04-17,88.4,Infused (edible),Each,6,4/24/2023,,88.4,0,6,0
2018-11-20 -2023-04-16,735909.78,Vape Product,Each,15445,4/24/2023,14457,735909.78,0,16622,0
2023-04-22,285.5,Infused Beverage,Each,18,4/24/2023,,285.5,0,32,0
2023-04-20,50,Infused (non-edible),Each,1,4/24/2023,,50,0,5,0
2023-04-20,464.95,Concentrate (Each),Each,24,4/24/2023,,464.95,0,25,0
2023-04-21,66.67,Concentrate (Each),Each,2,4/24/2023,,66.67,0,2,0
2023-04-22,373,Concentrate (Each),Each,6,4/24/2023,,373,0,6,0
2023-04-17,38.5,Concentrate,Grams,1,4/24/2023,,0,38.5,1,1
2023-04-18,321,Infused Beverage,Each,16,4/24/2023,,321,0,25,0
2023-04-21,1417.1,Infused (edible),Each,65,4/24/2023,,1417.1,0,106,0
2023-04-20,125,Kief,Grams,1,4/24/2023,,0,125,5,5
2018-11-20 -2023-04-16,100998.54,Shake/Trim (by strain),Grams,2630,4/24/2023,0,0,100998.54,22211,22211
2023-04-21,1375,Raw Pre-Rolls,Grams,57,4/24/2023,,0,1375,75,75
2023-04-17,50,Concentrate,Grams,1,4/24/2023,,0,50,1,1
2023-04-18,2370,Buds,Grams,45,4/24/2023,,0,2370,242.5,242.5
2023-04-21,492,Infused Pre-Rolls,Grams,18,4/24/2023,,0,492,11.1,11.1
2023-04-19,3538.62,Vape Product,Each,89,4/24/2023,,3538.62,0,95,0
2023-04-23,1751.25,Concentrate (Each),Each,64,4/24/2023,,1751.25,0,72,0
2018-11-20 -2023-04-16,4002742.39,Raw Pre-Rolls,Grams,184926,4/24/2023,0,0,4002742.39,295547.5,295547.5
2023-04-19,2214.46,Buds,Grams,87,4/24/2023,,0,2214.46,499.5,499.5
2023-04-20,180,Concentrate (Each),Each,4,4/24/2023,,180,0,4,0
2023-04-17,195,Shake/Trim (by strain),Grams,3,4/24/2023,,0,195,42,42
2023-04-23,420.83,Concentrate (Each),Each,9,4/24/2023,,420.83,0,9,0
2023-04-20,110,Infused (non-edible),Each,2,4/24/2023,,110,0,2,0
2023-04-17,60.75,Shake/Trim,Grams,2,4/24/2023,,0,60.75,14,14
2023-04-22,613.36,Infused (edible),Each,20,4/24/2023,,613.36,0,23,0
2023-04-22,262,Infused Beverage,Each,22,4/24/2023,,262,0,37,0
2023-04-17,409,Infused Pre-Rolls,Grams,16,4/24/2023,,0,409,20,20
2023-04-22,48,Infused Beverage,Each,2,4/24/2023,,48,0,2,0
2018-11-20 -2023-04-16,1200,Kief,Grams,30,4/24/2023,0,0,1200,40,40
2023-04-20,472.93,Infused Beverage,Each,54,4/24/2023,,472.93,0,98,0
2023-04-18,1203,Raw Pre-Rolls,Grams,70,4/24/2023,,0,1203,104.3,104.3
2023-04-23,280,Concentrate (Each),Each,4,4/24/2023,,280,0,4,0
2023-04-21,450,Raw Pre-Rolls,Grams,25,4/24/2023,,0,450,30.25,30.25
2023-04-19,4142,Buds,Grams,97,4/24/2023,,0,4142,570.5,570.5
2023-04-18,4043,Concentrate (Each),Each,76,4/24/2023,,4043,0,86,0
2018-11-20 -2023-04-16,1500,Concentrate (Bulk),Grams,25,4/24/2023,0,0,1500,25,25
2023-04-17,230,Shake/Trim,Grams,2,4/24/2023,,0,230,42,42
2018-11-20 -2023-04-16,10465240.28,Infused (edible),Each,303151,4/24/2023,399883,10465240.28,0,409458,0
2023-04-18,4170.62,Buds,Grams,71,4/24/2023,,0,4170.62,514.5,514.5
2023-04-20,1320,Buds,Grams,37,4/24/2023,,0,1320,213.5,213.5
2018-11-20 -2023-04-16,1940.5,Concentrate,Grams,77,4/24/2023,0,0,1940.5,51.5,51.5
2023-04-18,5102.5,Vape Product,Each,140,4/24/2023,,5102.5,0,168,0
2023-04-21,120,Infused Pre-Rolls,Grams,2,4/24/2023,,0,120,7.5,7.5
2023-04-18,739.94,Concentrate (Each),Each,30,4/24/2023,,739.94,0,43,0
2023-04-17,294,Infused Pre-Rolls,Grams,12,4/24/2023,,0,294,12.2,12.2
2023-04-17,116.25,Kief,Grams,5,4/24/2023,,0,116.25,6,6
2023-04-22,43.2,Infused (non-edible),Each,2,4/24/2023,,43.2,0,2,0
2018-11-20 -2023-04-16,3390428.47,Buds,Grams,100407,4/24/2023,0,0,3390428.47,337467.38,337467.38
2023-04-18,196,Shake/Trim (by strain),Grams,4,4/24/2023,,0,196,49,49
2018-11-20 -2023-04-16,28283736.07,Buds,Grams,486758,4/24/2023,0,0,28283736.07,2470329.7,2470329.7
2023-04-18,281,Infused Pre-Rolls,Grams,11,4/24/2023,,0,281,9.5,9.5
2023-04-23,1460,Vape Product,Each,31,4/24/2023,,1460,0,33,0
2023-04-18,806.45,Infused (edible),Each,39,4/24/2023,,806.45,0,52,0
2023-04-18,1321.5,Buds,Grams,26,4/24/2023,,0,1321.5,170,170
2023-04-18,1257.5,Infused (edible),Each,49,4/24/2023,,1257.5,0,58,0
2023-04-18,740.83,Infused (edible),Each,22,4/24/2023,,740.83,0,32,0
2023-04-21,10461.51,Vape Product,Each,198,4/24/2023,,10461.51,0,233,0
2018-11-20 -2023-04-16,141628.1,Infused Beverage,Each,10069,4/24/2023,20680,141628.1,0,21736,0
2023-04-19,197,Infused Pre-Rolls,Grams,7,4/24/2023,,0,197,9.55,9.55
2023-04-23,240,Concentrate,Grams,2,4/24/2023,,0,240,7,7
2018-11-20 -2023-04-16,729.5,Shake/Trim (by strain),Grams,24,4/24/2023,,0,729.5,175,175
2018-11-20 -2023-04-16,25294.77,Infused Pre-Rolls,Grams,1061,4/24/2023,0,0,25294.77,1123.86,1123.86
2023-04-19,190,Infused Pre-Rolls,Grams,14,4/24/2023,,0,190,10.45,10.45
2023-04-22,543,Infused Pre-Rolls,Grams,24,4/24/2023,,0,543,40,40
2023-04-23,320,Shake/Trim (by strain),Grams,7,4/24/2023,,0,320,70,70
2018-11-20 -2023-04-16,191323.57,Infused Pre-Rolls,Grams,5643,4/24/2023,0,0,191323.57,7827,7827
2023-04-19,500.86,Concentrate (Each),Each,16,4/24/2023,,500.86,0,16,0
2023-04-18,1820,Shake/Trim,Grams,24,4/24/2023,,0,1820,364,364
2023-04-20,578,Shake/Trim,Grams,13,4/24/2023,,0,578,107,107
2018-11-20 -2023-04-16,225591.53,Infused Pre-Rolls,Grams,7494,4/24/2023,0,0,225591.53,5933.92,5933.92
2023-04-23,607.88,Concentrate (Each),Each,17,4/24/2023,,607.88,0,18,0
2018-11-20 -2023-04-16,260554,Infused (edible),Each,12371,4/24/2023,13555,260554,0,15641,0
2023-04-19,905.75,Infused (edible),Each,43,4/24/2023,,905.75,0,51,0
2023-04-18,3494,Vape Product,Each,75,4/24/2023,,3494,0,81,0
2023-04-22,4144.18,Vape Product,Each,111,4/24/2023,,4144.18,0,122,0
2023-04-17,906,Concentrate (Each),Each,17,4/24/2023,,906,0,24,0
2018-11-20 -2023-04-16,394421.01,Infused (edible),Each,15248,4/24/2023,18573,394421.01,0,20444,0
2023-04-23,236,Infused (edible),Each,12,4/24/2023,,236,0,12,0
2023-04-19,3441,Infused (edible),Each,113,4/24/2023,,3441,0,160,0
2023-04-20,730,Concentrate (Each),Each,20,4/24/2023,,730,0,20,0
2018-11-20 -2023-04-16,15830.06,Concentrate,Grams,300,4/24/2023,0,0,15830.06,313,313
2023-04-19,401.5,Concentrate (Each),Each,10,4/24/2023,,401.5,0,10,0
2023-04-23,38,Infused Beverage,Each,6,4/24/2023,,38,0,19,0
2023-04-17,240,Infused Pre-Rolls,Grams,8,4/24/2023,,0,240,5,5
2018-11-20 -2023-04-16,1252729.32,Buds,Grams,27710,4/24/2023,0,0,1252729.32,80259,80259
