DBE,TOTAL,%_TOTAL
Minority-Owned Business,155,0.536
Veteran-Owned Business,26,0.09
Woman-Owned Business,91,0.315
LGBTQ+ -Owned Business,13,0.045
Disability-Owned Business,4,0.014
